Using device: cpu
gc-4.0-fin5
Goal, Curr: (-1.25,  1.22), ( -1.40,  -1.40)   Error: 2.62
Last SG, Last State: ( -3.40,  -0.25), ( -1.40,  -1.40)  SG Improvement:-0.00034 

Goal, Curr: (-0.94,  0.75), ( -0.59,  -1.40)   Error: 2.18
Last SG, Last State: ( -2.59,  -0.05), ( -0.59,  -1.40)  SG Improvement:-0.00100 

Goal, Curr: (-1.11,  0.94), ( -0.78,  -1.40)   Error: 2.36
Last SG, Last State: ( -2.78,  -0.05), ( -0.78,  -1.40)  SG Improvement:0.00003 

Goal, Curr: (-1.23,  1.07), ( -1.15,  -1.40)   Error: 2.47
Last SG, Last State: ( -3.14,  -0.13), ( -1.15,  -1.40)  SG Improvement:0.00152 

Goal, Curr: (-1.05,  1.08), ( -1.40,  -1.40)   Error: 2.50
Last SG, Last State: ( -3.40,  -0.30), ( -1.40,  -1.40)  SG Improvement:-0.00002 

Goal, Curr: (-1.00,  1.07), ( -1.37,  -1.40)   Error: 2.50
Last SG, Last State: ( -3.38,  -0.24), ( -1.38,  -1.40)  SG Improvement:0.00613 

Goal, Curr: (-0.76,  0.83), ( -0.63,  -1.40)   Error: 2.23
Last SG, Last State: ( -2.62,  -0.07), ( -0.62,  -1.40)  SG Improvement:0.00047 

Goal, Curr: (-1.06,  1.24), ( -1.40,  -1.40)   Error: 2.66
Last SG, Last State: ( -3.40,  -0.26), ( -1.40,  -1.40)  SG Improvement:-0.00038 

Goal, Curr: (-0.95,  1.03), ( -1.23,  -1.40)   Error: 2.45
Last SG, Last State: ( -3.28,  -0.26), ( -1.26,  -1.40)  SG Improvement:-0.00095 

Goal, Curr: (-1.21,  0.85), ( -0.69,  -1.40)   Error: 2.31
Last SG, Last State: ( -2.70,  -0.03), ( -0.70,  -1.40)  SG Improvement:-0.00083 

Goal, Curr: (-1.15,  1.01), ( -1.40,  -1.40)   Error: 2.42
Last SG, Last State: ( -3.40,  -0.30), ( -1.40,  -1.40)  SG Improvement:-0.00008 

Goal, Curr: (-1.15,  1.22), ( -1.40,  -1.40)   Error: 2.63
Last SG, Last State: ( -3.40,  -0.26), ( -1.40,  -1.40)  SG Improvement:-0.00024 

Goal, Curr: (-0.99,  1.11), ( -1.40,  -1.40)   Error: 2.54
Last SG, Last State: ( -3.40,  -0.30), ( -1.40,  -1.40)  SG Improvement:0.00020 

Goal, Curr: (-1.15,  1.14), ( -1.40,  -1.40)   Error: 2.55
Last SG, Last State: ( -3.40,  -0.28), ( -1.40,  -1.40)  SG Improvement:-0.00131 

Goal, Curr: (-1.07,  0.90), ( -1.40,  -1.40)   Error: 2.33
Last SG, Last State: ( -3.40,  -0.32), ( -1.40,  -1.40)  SG Improvement:-0.00467 

Goal, Curr: (-0.87,  1.15), ( -1.40,  -1.40)   Error: 2.60
Last SG, Last State: ( -3.40,  -0.31), ( -1.40,  -1.40)  SG Improvement:-0.00025 

Goal, Curr: (-0.81,  0.90), ( -0.72,  -1.40)   Error: 2.30
Last SG, Last State: ( -2.71,  -0.09), ( -0.71,  -1.40)  SG Improvement:0.00015 

Goal, Curr: (-0.77,  0.78), ( -0.57,  -1.40)   Error: 2.19
Last SG, Last State: ( -2.58,  -0.06), ( -0.57,  -1.40)  SG Improvement:-0.00058 

Goal, Curr: (-0.79,  0.92), ( -0.98,  -1.40)   Error: 2.33
Last SG, Last State: ( -3.04,  -0.26), ( -1.01,  -1.40)  SG Improvement:-0.00174 

Goal, Curr: (-0.89,  0.78), ( -0.59,  -1.40)   Error: 2.20
Last SG, Last State: ( -2.59,  -0.04), ( -0.59,  -1.40)  SG Improvement:-0.00025 

Goal, Curr: (-1.12,  1.22), ( -1.40,  -1.40)   Error: 2.64
Last SG, Last State: ( -3.40,  -0.26), ( -1.40,  -1.40)  SG Improvement:-0.00004 

Goal, Curr: (-1.05,  0.95), ( -1.40,  -1.40)   Error: 2.38
Last SG, Last State: ( -3.40,  -0.33), ( -1.40,  -1.40)  SG Improvement:0.00057 

Goal, Curr: (-1.14,  0.84), ( -1.40,  -1.40)   Error: 2.26
Last SG, Last State: ( -3.40,  -0.34), ( -1.40,  -1.40)  SG Improvement:-0.00733 

