Using device: cpu
no-correct-per-super-slow-lower-learner
Initializing with critic LR:  0.0005  actor LR:  1e-05
Initializing with critic LR:  1e-06  actor LR:  5e-07
Goal, Curr: (-0.81,  1.16), (  1.37,   0.56)   Error: 2.26
Last SG, Last State: (  1.00,   0.29), (  1.40,   0.36)  SG Improvement:-0.02498 

Goal, Curr: (-0.88,  0.94), (  1.40,   0.62)   Error: 2.30
Last SG, Last State: (  1.04,   0.35), (  1.40,   0.42)  SG Improvement:0.03238 

Goal, Curr: (-0.78,  1.23), (  1.37,   0.74)   Error: 2.21
Last SG, Last State: (  1.01,   0.45), (  1.40,   0.54)  SG Improvement:-0.03712 

Goal, Curr: (-1.16,  0.84), (  1.41,   1.09)   Error: 2.58
Last SG, Last State: (  0.36,   0.65), (  1.23,   1.09)  SG Improvement:-0.64328 

Goal, Curr: (-0.97,  0.92), (  1.35,   0.60)   Error: 2.34
Last SG, Last State: (  1.02,   0.33), (  1.39,   0.41)  SG Improvement:-0.10672 

Goal, Curr: (-0.77,  0.90), (  1.25,   1.09)   Error: 2.02
Last SG, Last State: (  1.14,   1.50), (  1.09,   1.20)  SG Improvement:-2.35262 

Goal, Curr: (-0.95,  0.94), (  1.39,   0.66)   Error: 2.35
Last SG, Last State: (  1.02,   0.38), (  1.40,   0.46)  SG Improvement:0.00852 

Goal, Curr: (-0.82,  0.83), (  1.15,   1.12)   Error: 1.99
Last SG, Last State: (  1.22,   1.59), (  1.05,   1.28)  SG Improvement:-2.47242 

Goal, Curr: (-1.15,  0.97), (  1.32,   0.68)   Error: 2.48
Last SG, Last State: (  1.00,   0.42), (  1.38,   0.49)  SG Improvement:-0.17056 

Goal, Curr: (-1.04,  1.22), (  1.40,   1.09)   Error: 2.45
Last SG, Last State: (  0.19,   0.45), (  1.26,   1.04)  SG Improvement:-0.00025 

Goal, Curr: (-0.98,  1.14), (  1.32,   0.86)   Error: 2.32
Last SG, Last State: (  1.01,   0.58), (  1.38,   0.67)  SG Improvement:-0.17952 

Goal, Curr: (-1.06,  1.03), (  1.22,   1.06)   Error: 2.28
Last SG, Last State: (  0.00,   0.40), (  1.05,   0.97)  SG Improvement:0.08599 

Goal, Curr: (-1.15,  0.83), (  1.29,   0.75)   Error: 2.44
Last SG, Last State: (  1.04,   0.50), (  1.36,   0.56)  SG Improvement:-0.19763 

Goal, Curr: (-1.09,  1.04), (  1.35,   1.13)   Error: 2.44
Last SG, Last State: (  0.11,   0.53), (  1.15,   1.09)  SG Improvement:-0.08097 

episode:00100, mean:5.99, std:0.51, median:5.96, success:0.00
Goal, Curr: (-0.81,  0.95), ( -1.40,  -1.03)   Error: 2.07
Last SG, Last State: ( -1.52,  -0.76), ( -1.40,  -0.91)  SG Improvement:-0.06672 

Goal, Curr: (-0.82,  0.91), ( -1.40,  -1.25)   Error: 2.24
Last SG, Last State: ( -1.62,  -0.95), ( -1.40,  -1.13)  SG Improvement:-0.01718 

Goal, Curr: (-0.79,  0.89), ( -1.40,  -1.40)   Error: 2.36
Last SG, Last State: ( -1.67,  -1.13), ( -1.40,  -1.38)  SG Improvement:0.01062 

Goal, Curr: (-0.85,  1.22), ( -1.14,  -0.93)   Error: 2.17
Last SG, Last State: ( -1.07,  -1.23), ( -1.05,  -1.11)  SG Improvement:1.03681 

Goal, Curr: (-0.78,  0.93), ( -1.40,  -1.40)   Error: 2.41
Last SG, Last State: ( -1.70,  -1.20), ( -1.40,  -1.40)  SG Improvement:-0.28439 

Goal, Curr: (-1.04,  0.89), ( -1.40,  -1.40)   Error: 2.31
Last SG, Last State: ( -1.63,  -1.05), ( -1.40,  -1.40)  SG Improvement:-0.10425 

Goal, Curr: (-0.94,  1.21), ( -1.33,  -0.76)   Error: 2.00
