Using device: cpu
gc-4.0-kkk-high-expl
Goal, Curr: (-1.24,  0.87), ( -1.40,  -1.40)   Error: 2.27
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  1.15), ( -1.40,  -1.40)   Error: 2.57
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  0.94), ( -1.40,  -1.37)   Error: 2.38
Last SG, Last State: (  0.60,   0.65), ( -1.40,  -1.36)  SG Improvement:-0.00019 

Goal, Curr: (-1.17,  0.81), ( -1.40,  -1.40)   Error: 2.22
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  1.16), ( -1.40,  -1.40)   Error: 2.60
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.21,  0.88), ( -1.40,  -1.40)   Error: 2.28
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

episode:00400, mean:-0.44, std:0.17, median:-0.49, success:0.00
Log radii:  [-1.3862944 -1.3862944  1.3862944 -1.3862944 -0.0336411 -1.3862944]
Adjusted log radii:  [2.20370555 2.5037055  1.37629437 1.00370574 2.05635881 0.70370567]
Goal, Curr: (-1.05,  0.93), ( -1.40,  -0.88)   Error: 1.85
Last SG, Last State: (  0.60,   1.12), ( -1.40,  -0.88)  SG Improvement:0.00000 

Goal, Curr: (-0.92,  0.84), ( -1.40,  -1.20)   Error: 2.10
Last SG, Last State: (  0.60,   0.80), ( -1.40,  -1.20)  SG Improvement:-0.00000 

Goal, Curr: (-0.91,  0.78), ( -1.40,  -1.20)   Error: 2.04
Last SG, Last State: (  0.60,   0.80), ( -1.40,  -1.20)  SG Improvement:-0.00000 

Goal, Curr: (-0.88,  0.86), ( -1.40,  -1.19)   Error: 2.11
Last SG, Last State: (  0.60,   0.82), ( -1.40,  -1.18)  SG Improvement:-0.00001 

Goal, Curr: (-0.89,  1.02), ( -1.40,  -0.88)   Error: 1.96
Last SG, Last State: (  0.60,   1.12), ( -1.40,  -0.88)  SG Improvement:0.00000 

Goal, Curr: (-1.03,  0.79), ( -1.40,  -1.20)   Error: 2.03
Last SG, Last State: (  0.60,   0.80), ( -1.40,  -1.20)  SG Improvement:-0.00000 

Goal, Curr: (-1.07,  0.82), ( -1.40,  -1.21)   Error: 2.06
Last SG, Last State: (  0.60,   0.79), ( -1.40,  -1.21)  SG Improvement:-0.00000 

Goal, Curr: (-1.12,  0.91), ( -1.40,  -0.93)   Error: 1.86
Last SG, Last State: (  0.60,   1.06), ( -1.40,  -0.94)  SG Improvement:0.00002 

Goal, Curr: (-0.91,  1.10), ( -1.40,  -0.93)   Error: 2.09
Last SG, Last State: (  0.60,   1.07), ( -1.40,  -0.93)  SG Improvement:0.00002 

Goal, Curr: (-1.00,  0.79), ( -1.40,  -0.92)   Error: 1.76
Last SG, Last State: (  0.60,   1.07), ( -1.40,  -0.93)  SG Improvement:0.00002 

episode:00500, mean:-0.04, std:0.14, median:-0.07, success:0.00
