Using device: cpu
no-correct-actual-per-ridiculously-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Last SG, Last State: ( -1.40,  -0.86), ( -1.40,  -0.85)  SG Improvement:-0.00379 

Goal, Curr: (-1.17,  0.75), ( -1.40,  -0.83)   Error: 1.60
Last SG, Last State: ( -1.40,  -0.84), ( -1.40,  -0.84)  SG Improvement:-0.00371 

Goal, Curr: (-0.96,  1.12), ( -1.40,  -1.05)   Error: 2.22
Last SG, Last State: ( -1.40,  -1.07), ( -1.40,  -1.06)  SG Improvement:-0.00861 

Goal, Curr: (-1.04,  0.86), ( -1.40,  -1.05)   Error: 1.95
Last SG, Last State: ( -1.40,  -1.07), ( -1.40,  -1.06)  SG Improvement:-0.00782 

Goal, Curr: (-0.95,  0.87), ( -1.40,  -0.69)   Error: 1.62
Last SG, Last State: ( -1.40,  -0.70), ( -1.40,  -0.69)  SG Improvement:-0.00238 

Goal, Curr: (-1.16,  0.86), ( -1.40,  -1.04)   Error: 1.92
Last SG, Last State: ( -1.40,  -1.06), ( -1.40,  -1.05)  SG Improvement:-0.00877 

Goal, Curr: (-0.92,  0.90), ( -1.40,  -0.76)   Error: 1.73
Last SG, Last State: ( -1.40,  -0.77), ( -1.40,  -0.76)  SG Improvement:-0.00300 

Goal, Curr: (-0.95,  0.92), ( -1.40,  -1.11)   Error: 2.08
Last SG, Last State: ( -1.40,  -1.13), ( -1.40,  -1.12)  SG Improvement:-0.00982 

Goal, Curr: (-1.10,  1.08), ( -1.40,  -1.10)   Error: 2.20
Last SG, Last State: ( -1.40,  -1.12), ( -1.40,  -1.11)  SG Improvement:-0.00806 

Goal, Curr: (-0.80,  0.92), ( -1.40,  -0.81)   Error: 1.83
Last SG, Last State: ( -1.40,  -0.82), ( -1.40,  -0.81)  SG Improvement:-0.00474 

Goal, Curr: (-1.15,  0.96), ( -1.40,  -0.81)   Error: 1.79
Last SG, Last State: ( -1.40,  -0.83), ( -1.40,  -0.82)  SG Improvement:-0.00508 

Goal, Curr: (-1.02,  1.10), ( -1.40,  -0.97)   Error: 2.11
Last SG, Last State: ( -1.40,  -0.99), ( -1.40,  -0.98)  SG Improvement:-0.00709 

Goal, Curr: (-1.13,  1.07), ( -1.40,  -0.98)   Error: 2.06
Last SG, Last State: ( -1.40,  -1.00), ( -1.40,  -0.99)  SG Improvement:-0.00908 

Goal, Curr: (-1.09,  1.22), ( -1.40,  -0.88)   Error: 2.12
Last SG, Last State: ( -1.40,  -0.89), ( -1.40,  -0.89)  SG Improvement:-0.00473 

Goal, Curr: (-0.96,  1.04), ( -1.40,  -1.01)   Error: 2.10
Last SG, Last State: ( -1.40,  -1.02), ( -1.40,  -1.01)  SG Improvement:-0.00639 

Goal, Curr: (-0.77,  1.16), ( -1.40,  -0.73)   Error: 2.00
Last SG, Last State: ( -1.40,  -0.74), ( -1.40,  -0.74)  SG Improvement:-0.00236 

Goal, Curr: (-0.81,  0.79), ( -1.40,  -0.95)   Error: 1.83
Last SG, Last State: ( -1.40,  -0.97), ( -1.40,  -0.96)  SG Improvement:-0.00726 

episode:00100, mean:6.17, std:0.61, median:6.20, success:0.00
Goal, Curr: (-1.17,  1.11), ( -0.84,  -1.09)   Error: 2.23
Last SG, Last State: ( -0.84,  -1.09), ( -0.83,  -1.09)  SG Improvement:-0.00605 

Goal, Curr: (-0.88,  1.13), ( -1.02,  -1.02)   Error: 2.15
Last SG, Last State: ( -1.03,  -1.02), ( -1.02,  -1.02)  SG Improvement:-0.00517 

Goal, Curr: (-0.81,  1.07), ( -1.12,  -0.78)   Error: 1.87
Last SG, Last State: ( -1.12,  -0.78), ( -1.12,  -0.78)  SG Improvement:-0.00172 

Goal, Curr: (-1.25,  1.24), ( -0.78,  -1.09)   Error: 2.38
Last SG, Last State: ( -0.78,  -1.09), ( -0.78,  -1.09)  SG Improvement:-0.01464 

Goal, Curr: (-1.20,  0.85), ( -0.93,  -1.01)   Error: 1.88
Last SG, Last State: ( -0.93,  -1.01), ( -0.93,  -1.01)  SG Improvement:-0.00259 

Goal, Curr: (-1.10,  1.06), ( -1.13,  -0.89)   Error: 1.96
Last SG, Last State: ( -1.14,  -0.89), ( -1.13,  -0.89)  SG Improvement:-0.00672 

Goal, Curr: (-1.07,  1.08), ( -1.05,  -0.88)   Error: 1.96
Last SG, Last State: ( -1.05,  -0.88), ( -1.04,  -0.88)  SG Improvement:-0.00047 

Goal, Curr: (-1.23,  0.75), ( -0.88,  -1.16)   Error: 1.94
Last SG, Last State: ( -0.89,  -1.16), ( -0.88,  -1.16)  SG Improvement:-0.00198 

Goal, Curr: (-1.13,  0.92), ( -1.08,  -0.85)   Error: 1.77
Last SG, Last State: ( -1.08,  -0.85), ( -1.08,  -0.85)  SG Improvement:0.00025 

Goal, Curr: (-0.76,  1.01), ( -1.18,  -0.83)   Error: 1.88
Last SG, Last State: ( -1.19,  -0.83), ( -1.19,  -0.83)  SG Improvement:-0.00668 

Goal, Curr: (-0.84,  0.88), ( -0.75,  -1.21)   Error: 2.09
Last SG, Last State: ( -0.75,  -1.21), ( -0.75,  -1.21)  SG Improvement:-0.00747 

Goal, Curr: (-0.93,  1.20), ( -1.19,  -0.85)   Error: 2.07
Last SG, Last State: ( -1.20,  -0.86), ( -1.20,  -0.85)  SG Improvement:-0.01030 

Goal, Curr: (-0.95,  0.81), ( -1.23,  -0.91)   Error: 1.74
Last SG, Last State: ( -1.25,  -0.91), ( -1.24,  -0.91)  SG Improvement:-0.02162 

Goal, Curr: (-1.02,  1.22), ( -1.14,  -0.99)   Error: 2.22
Last SG, Last State: ( -1.16,  -0.99), ( -1.15,  -0.99)  SG Improvement:-0.01815 

Goal, Curr: (-0.78,  1.10), ( -1.35,  -0.82)   Error: 2.00
Last SG, Last State: ( -1.37,  -0.82), ( -1.36,  -0.82)  SG Improvement:-0.02538 

Goal, Curr: (-0.84,  0.91), ( -0.68,  -1.17)   Error: 2.08
Last SG, Last State: ( -0.68,  -1.17), ( -0.68,  -1.17)  SG Improvement:-0.02407 

Goal, Curr: (-1.08,  0.94), ( -0.90,  -1.09)   Error: 2.04
Last SG, Last State: ( -0.90,  -1.09), ( -0.90,  -1.09)  SG Improvement:0.00017 

Goal, Curr: (-0.97,  0.91), ( -0.66,  -1.17)   Error: 2.11
Last SG, Last State: ( -0.66,  -1.17), ( -0.66,  -1.17)  SG Improvement:-0.02619 

Goal, Curr: (-0.88,  1.08), ( -1.03,  -0.90)   Error: 1.98
Last SG, Last State: ( -1.03,  -0.90), ( -1.03,  -0.90)  SG Improvement:-0.00128 

Goal, Curr: (-0.94,  0.85), ( -0.80,  -1.23)   Error: 2.08
Last SG, Last State: ( -0.80,  -1.23), ( -0.80,  -1.23)  SG Improvement:0.00054 

Goal, Curr: (-1.10,  1.25), ( -0.79,  -1.19)   Error: 2.46
Last SG, Last State: ( -0.79,  -1.19), ( -0.78,  -1.19)  SG Improvement:-0.00261 

Goal, Curr: (-0.91,  0.80), ( -1.25,  -0.78)   Error: 1.61
Last SG, Last State: ( -1.25,  -0.78), ( -1.25,  -0.78)  SG Improvement:-0.00991 

Goal, Curr: (-1.08,  1.16), ( -1.08,  -0.80)   Error: 1.97
Last SG, Last State: ( -1.08,  -0.81), ( -1.08,  -0.80)  SG Improvement:-0.00341 

Goal, Curr: (-1.17,  1.12), ( -1.09,  -0.93)   Error: 2.06
Last SG, Last State: ( -1.10,  -0.93), ( -1.09,  -0.93)  SG Improvement:-0.00471 

Goal, Curr: (-1.01,  0.97), ( -1.11,  -0.84)   Error: 1.81
Last SG, Last State: ( -1.11,  -0.84), ( -1.10,  -0.84)  SG Improvement:0.00019 

Goal, Curr: (-1.05,  1.02), ( -1.27,  -0.86)   Error: 1.89
Last SG, Last State: ( -1.29,  -0.86), ( -1.28,  -0.86)  SG Improvement:-0.02098 

Goal, Curr: (-0.78,  0.76), ( -1.37,  -0.81)   Error: 1.68
Last SG, Last State: ( -1.39,  -0.82), ( -1.38,  -0.82)  SG Improvement:-0.02827 

Goal, Curr: (-1.10,  0.78), ( -1.21,  -0.93)   Error: 1.71
Last SG, Last State: ( -1.23,  -0.93), ( -1.22,  -0.93)  SG Improvement:-0.02082 

Goal, Curr: (-1.04,  1.04), ( -0.78,  -1.20)   Error: 2.25
Last SG, Last State: ( -0.77,  -1.20), ( -0.77,  -1.20)  SG Improvement:-0.00450 

Goal, Curr: (-0.89,  0.93), ( -0.55,  -1.30)   Error: 2.26
Last SG, Last State: ( -0.54,  -1.30), ( -0.54,  -1.30)  SG Improvement:-0.03215 

