Using device: cpu
gc-4.0-nnn-highexpl
Goal, Curr: (-1.24,  0.91), ( -1.06,  -0.60)   Error: 1.53
Last SG, Last State: ( -3.06,  -2.60), ( -1.06,  -0.60)  SG Improvement:0.00038 

Goal, Curr: (-1.02,  1.21), ( -1.04,  -0.60)   Error: 1.81
Last SG, Last State: ( -3.04,  -2.60), ( -1.04,  -0.60)  SG Improvement:-0.00001 

Goal, Curr: (-0.86,  0.83), ( -1.06,  -0.60)   Error: 1.44
Last SG, Last State: ( -3.06,  -2.60), ( -1.06,  -0.60)  SG Improvement:0.11230 

Goal, Curr: (-0.90,  1.22), ( -1.05,  -0.60)   Error: 1.83
Last SG, Last State: ( -3.05,  -2.60), ( -1.05,  -0.60)  SG Improvement:-0.00002 

Goal, Curr: (-1.07,  0.83), ( -1.06,  -0.60)   Error: 1.43
Last SG, Last State: ( -3.06,  -2.60), ( -1.06,  -0.60)  SG Improvement:-0.00003 

Goal, Curr: (-1.22,  1.12), ( -1.04,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.04,  -2.60), ( -1.04,  -0.60)  SG Improvement:-0.00055 

Goal, Curr: (-0.93,  0.80), ( -1.04,  -0.60)   Error: 1.40
Last SG, Last State: ( -3.04,  -2.60), ( -1.04,  -0.60)  SG Improvement:-0.00377 

episode:00400, mean:0.41, std:0.15, median:0.43, success:0.00
Log radii:  [ 1.3862944   0.6624305  -1.3862944  -0.71605253 -1.3862944  -1.3862944 ]
Adjusted log radii:  [2.27629423 2.45243049 2.5037055  2.57394743 1.60370564 1.9037056 ]
Goal, Curr: (-1.05,  1.06), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.30,  -2.70), ( -1.31,  -0.70)  SG Improvement:1.76887 

Goal, Curr: (-0.93,  0.97), ( -1.30,  -0.60)   Error: 1.61
Last SG, Last State: ( -3.40,  -2.60), ( -1.37,  -0.60)  SG Improvement:-0.20278 

Goal, Curr: (-1.22,  0.88), ( -1.31,  -0.69)   Error: 1.57
Last SG, Last State: ( -3.30,  -2.60), ( -1.24,  -0.60)  SG Improvement:0.46260 

Goal, Curr: (-1.18,  1.01), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.02,  1.11), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: ( -3.37,  -2.60), ( -1.40,  -0.60)  SG Improvement:-0.39883 

Goal, Curr: (-1.06,  0.90), ( -1.39,  -0.60)   Error: 1.54
Last SG, Last State: ( -3.40,  -2.61), ( -1.40,  -0.60)  SG Improvement:-0.45153 

Goal, Curr: (-0.86,  0.79), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  1.13), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.15,  0.95), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -3.34,  -2.60), ( -1.38,  -0.60)  SG Improvement:-0.91431 

Goal, Curr: (-1.15,  1.24), ( -1.37,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.07503 

episode:00500, mean:0.37, std:0.15, median:0.37, success:0.00
Goal, Curr: (-0.93,  1.03), ( -0.86,  -0.60)   Error: 1.63
Last SG, Last State: ( -2.90,  -2.60), ( -0.88,  -0.60)  SG Improvement:-0.00683 

Goal, Curr: (-0.82,  1.16), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  1.20), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  1.25), ( -1.40,  -0.60)   Error: 1.89
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.76,  0.88), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  1.04), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.08,  0.85), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.82,  1.15), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.93,  1.24), ( -1.40,  -0.60)   Error: 1.90
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.05), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:00600, mean:0.41, std:0.13, median:0.45, success:0.00
Goal, Curr: (-0.90,  1.18), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  1.19), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.80,  1.02), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  0.93), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.80,  1.18), ( -1.40,  -0.60)   Error: 1.87
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  0.91), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  1.08), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.06,  0.89), ( -1.40,  -0.60)   Error: 1.53
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  0.84), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.87,  0.79), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:00700, mean:0.38, std:0.17, median:0.42, success:0.00
Goal, Curr: (-0.94,  0.80), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  1.06), ( -1.40,  -0.60)   Error: 1.76
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.76,  0.88), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  1.16), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.97,  0.78), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.87,  0.91), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.97,  0.87), ( -1.40,  -0.60)   Error: 1.53
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  1.13), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  1.11), ( -1.40,  -0.60)   Error: 1.72
