Using device: cpu
no-correction-finw
Last SG, Last State: ( -3.16,  -3.40), ( -1.16,  -1.40)  SG Improvement:0.00102 

Goal, Curr: (-0.92,  1.24), ( -1.40,  -1.40)   Error: 2.69
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.12,  0.90), ( -1.36,  -1.40)   Error: 2.32
Last SG, Last State: ( -3.36,  -3.40), ( -1.36,  -1.40)  SG Improvement:-0.00092 

Goal, Curr: (-0.79,  1.00), ( -1.40,  -1.40)   Error: 2.47
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  0.93), ( -1.13,  -1.40)   Error: 2.33
Last SG, Last State: ( -3.12,  -3.40), ( -1.13,  -1.40)  SG Improvement:0.00298 

Goal, Curr: (-1.19,  1.23), ( -1.40,  -1.40)   Error: 2.63
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.11,  0.96), ( -1.40,  -1.40)   Error: 2.38
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.94,  1.10), ( -1.04,  -1.40)   Error: 2.50
Last SG, Last State: ( -3.03,  -3.40), ( -1.04,  -1.40)  SG Improvement:0.00501 

Goal, Curr: (-1.00,  0.96), ( -1.27,  -1.39)   Error: 2.36
Last SG, Last State: ( -3.28,  -3.39), ( -1.27,  -1.39)  SG Improvement:-0.00366 

Goal, Curr: (-1.11,  0.89), ( -1.40,  -1.40)   Error: 2.31
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.85,  0.92), ( -1.40,  -1.40)   Error: 2.38
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.78,  0.99), ( -1.40,  -1.40)   Error: 2.47
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  0.85), ( -1.26,  -1.39)   Error: 2.24
Last SG, Last State: ( -3.26,  -3.39), ( -1.26,  -1.39)  SG Improvement:-0.00301 

Goal, Curr: (-1.17,  1.08), ( -1.40,  -1.40)   Error: 2.49
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.86,  1.23), ( -1.40,  -1.40)   Error: 2.68
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  0.82), ( -1.40,  -1.40)   Error: 2.23
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

episode:00100, mean:6.71, std:0.49, median:6.65, success:0.00
Goal, Curr: (-1.02,  0.87), ( -1.40,  -0.86)   Error: 1.77
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:0.00008 

Goal, Curr: (-0.85,  0.87), ( -1.38,  -1.11)   Error: 2.05
Last SG, Last State: ( -3.37,  -3.11), ( -1.37,  -1.11)  SG Improvement:0.00238 

Goal, Curr: (-1.16,  0.98), ( -1.36,  -1.13)   Error: 2.12
Last SG, Last State: ( -3.36,  -3.13), ( -1.36,  -1.13)  SG Improvement:0.00231 

Goal, Curr: (-1.09,  1.17), ( -1.40,  -0.86)   Error: 2.05
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:-0.00002 

Goal, Curr: (-0.97,  1.08), ( -1.36,  -1.16)   Error: 2.27
Last SG, Last State: ( -3.35,  -3.16), ( -1.35,  -1.16)  SG Improvement:0.00168 

Goal, Curr: (-0.81,  0.95), ( -1.35,  -1.15)   Error: 2.17
Last SG, Last State: ( -3.35,  -3.15), ( -1.35,  -1.15)  SG Improvement:0.00231 

Goal, Curr: (-0.85,  0.88), ( -1.40,  -0.86)   Error: 1.83
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:-0.00001 

Goal, Curr: (-0.78,  1.17), ( -1.40,  -1.16)   Error: 2.41
Last SG, Last State: ( -3.40,  -3.14), ( -1.40,  -1.15)  SG Improvement:0.00423 

Goal, Curr: (-1.00,  0.93), ( -1.40,  -0.86)   Error: 1.83
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:0.00000 

Goal, Curr: (-1.02,  1.21), ( -1.40,  -1.15)   Error: 2.39
Last SG, Last State: ( -3.40,  -3.12), ( -1.40,  -1.14)  SG Improvement:0.00445 

Goal, Curr: (-0.81,  0.97), ( -1.40,  -0.90)   Error: 1.96
Last SG, Last State: ( -3.40,  -2.91), ( -1.40,  -0.91)  SG Improvement:-0.00118 

Goal, Curr: (-0.88,  1.05), ( -1.40,  -1.09)   Error: 2.20
Last SG, Last State: ( -3.39,  -3.09), ( -1.40,  -1.09)  SG Improvement:0.00226 

Goal, Curr: (-1.09,  0.91), ( -1.40,  -0.99)   Error: 1.92
Last SG, Last State: ( -3.40,  -2.99), ( -1.40,  -0.99)  SG Improvement:-0.01004 

Goal, Curr: (-1.13,  1.21), ( -1.40,  -1.14)   Error: 2.36
Last SG, Last State: ( -3.40,  -3.12), ( -1.40,  -1.13)  SG Improvement:0.00416 

Goal, Curr: (-1.03,  1.11), ( -1.40,  -0.86)   Error: 2.00
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:-0.00000 

Goal, Curr: (-1.02,  0.85), ( -1.40,  -1.21)   Error: 2.10
Last SG, Last State: ( -3.40,  -3.19), ( -1.40,  -1.20)  SG Improvement:0.00416 

Goal, Curr: (-0.87,  0.96), ( -1.40,  -1.15)   Error: 2.18
Last SG, Last State: ( -3.40,  -3.13), ( -1.40,  -1.14)  SG Improvement:0.00444 

Goal, Curr: (-1.19,  0.97), ( -1.40,  -0.86)   Error: 1.84
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:-0.00005 

Goal, Curr: (-0.87,  0.97), ( -1.39,  -1.11)   Error: 2.15
Last SG, Last State: ( -3.39,  -3.12), ( -1.39,  -1.12)  SG Improvement:0.00150 

Goal, Curr: (-1.01,  0.81), ( -1.37,  -1.17)   Error: 2.01
Last SG, Last State: ( -3.37,  -3.17), ( -1.37,  -1.17)  SG Improvement:0.00069 

Goal, Curr: (-0.87,  1.12), ( -1.40,  -0.86)   Error: 2.04
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:-0.00005 

Goal, Curr: (-1.17,  0.88), ( -1.40,  -1.12)   Error: 2.01
Last SG, Last State: ( -3.40,  -3.10), ( -1.40,  -1.11)  SG Improvement:0.00331 

Goal, Curr: (-1.24,  0.98), ( -1.40,  -1.19)   Error: 2.18
Last SG, Last State: ( -3.40,  -3.17), ( -1.40,  -1.18)  SG Improvement:0.00420 

Goal, Curr: (-1.15,  1.20), ( -1.40,  -0.86)   Error: 2.07
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:0.00004 

Goal, Curr: (-1.07,  0.77), ( -1.40,  -0.86)   Error: 1.66
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:0.00000 

Goal, Curr: (-1.06,  0.81), ( -1.40,  -1.14)   Error: 1.98
Last SG, Last State: ( -3.40,  -3.12), ( -1.40,  -1.13)  SG Improvement:0.00427 

Goal, Curr: (-0.97,  0.78), ( -1.40,  -0.86)   Error: 1.69
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:0.00008 

Goal, Curr: (-0.79,  1.11), ( -1.40,  -1.11)   Error: 2.30
Last SG, Last State: ( -3.40,  -3.08), ( -1.40,  -1.09)  SG Improvement:0.00327 

Goal, Curr: (-1.11,  0.95), ( -0.24,  -1.40)   Error: 2.51
Last SG, Last State: ( -2.27,  -3.40), ( -0.25,  -1.40)  SG Improvement:-0.00599 

Goal, Curr: (-0.89,  0.86), ( -1.40,  -1.13)   Error: 2.05
Last SG, Last State: ( -3.40,  -3.10), ( -1.40,  -1.12)  SG Improvement:0.00358 

Goal, Curr: (-0.83,  1.01), ( -1.39,  -1.09)   Error: 2.18
Last SG, Last State: ( -3.38,  -3.09), ( -1.38,  -1.09)  SG Improvement:0.00273 

Goal, Curr: (-1.11,  0.88), ( -1.36,  -1.14)   Error: 2.03
Last SG, Last State: ( -3.35,  -3.14), ( -1.36,  -1.14)  SG Improvement:0.00248 

Goal, Curr: (-0.84,  1.00), ( -1.40,  -1.16)   Error: 2.23
Last SG, Last State: ( -3.40,  -3.14), ( -1.40,  -1.15)  SG Improvement:0.00431 

Goal, Curr: (-1.21,  1.18), ( -0.23,  -1.40)   Error: 2.76
Last SG, Last State: ( -2.25,  -3.40), ( -0.24,  -1.40)  SG Improvement:-0.12205 

Goal, Curr: (-0.94,  0.88), ( -1.40,  -0.86)   Error: 1.80
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:-0.00004 

Goal, Curr: (-0.90,  1.21), ( -1.40,  -0.86)   Error: 2.13
Last SG, Last State: ( -3.40,  -2.87), ( -1.40,  -0.86)  SG Improvement:0.00031 

Goal, Curr: (-0.78,  1.12), ( -1.40,  -0.89)   Error: 2.11
Last SG, Last State: ( -3.40,  -2.90), ( -1.40,  -0.90)  SG Improvement:-0.00142 

Goal, Curr: (-0.86,  1.20), ( -1.40,  -1.19)   Error: 2.45
Last SG, Last State: ( -3.40,  -3.17), ( -1.40,  -1.18)  SG Improvement:0.00425 

Goal, Curr: (-0.95,  0.83), ( -1.40,  -0.86)   Error: 1.75
Last SG, Last State: ( -3.40,  -2.87), ( -1.40,  -0.86)  SG Improvement:0.00030 

Goal, Curr: (-1.17,  1.15), ( -1.40,  -0.86)   Error: 2.01
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:-0.00001 

Goal, Curr: (-1.25,  0.79), ( -1.40,  -0.86)   Error: 1.65
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:-0.00004 

Goal, Curr: (-1.07,  0.77), ( -1.40,  -1.05)   Error: 1.85
Last SG, Last State: ( -3.40,  -3.06), ( -1.40,  -1.06)  SG Improvement:-0.00342 

Goal, Curr: (-1.12,  1.12), ( -1.40,  -1.18)   Error: 2.32
Last SG, Last State: ( -3.40,  -3.16), ( -1.40,  -1.17)  SG Improvement:0.00420 

Goal, Curr: (-0.88,  1.21), ( -0.24,  -1.40)   Error: 2.69
Last SG, Last State: ( -2.27,  -3.40), ( -0.26,  -1.40)  SG Improvement:0.09488 

Goal, Curr: (-0.80,  1.09), ( -1.40,  -1.14)   Error: 2.31
Last SG, Last State: ( -3.40,  -3.12), ( -1.40,  -1.13)  SG Improvement:0.00435 

Goal, Curr: (-1.04,  0.97), ( -1.40,  -1.03)   Error: 2.03
Last SG, Last State: ( -3.40,  -3.04), ( -1.40,  -1.04)  SG Improvement:-0.00955 

Goal, Curr: (-1.03,  0.96), ( -1.40,  -1.22)   Error: 2.21
Last SG, Last State: ( -3.40,  -3.20), ( -1.40,  -1.21)  SG Improvement:0.00423 

Goal, Curr: (-1.19,  0.82), ( -1.40,  -0.86)   Error: 1.69
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:0.00004 

Goal, Curr: (-0.96,  1.13), ( -1.40,  -0.86)   Error: 2.03
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:-0.00005 

Goal, Curr: (-0.81,  1.19), ( -1.40,  -0.86)   Error: 2.13
Last SG, Last State: ( -3.40,  -2.86), ( -1.40,  -0.86)  SG Improvement:0.00024 

episode:00200, mean:5.97, std:0.51, median:6.01, success:0.00
Goal, Curr: (-0.91,  0.97), (  1.40,  -1.40)   Error: 3.30
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.10825 

Goal, Curr: (-0.92,  0.86), (  1.40,  -1.40)   Error: 3.24
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.04596 

Goal, Curr: (-0.95,  1.10), (  1.40,  -1.40)   Error: 3.43
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:0.09504 

Goal, Curr: (-0.94,  0.81), (  0.49,  -1.40)   Error: 2.63
Last SG, Last State: ( -1.52,  -3.40), (  0.48,  -1.40)  SG Improvement:-0.00387 

Goal, Curr: (-1.13,  0.92), (  0.50,  -1.40)   Error: 2.83
Last SG, Last State: ( -1.51,  -3.40), (  0.50,  -1.40)  SG Improvement:-0.00180 

Goal, Curr: (-0.77,  0.90), (  0.49,  -1.40)   Error: 2.62
Last SG, Last State: ( -1.52,  -3.40), (  0.48,  -1.40)  SG Improvement:-0.00361 

Goal, Curr: (-0.75,  0.82), (  1.40,  -1.40)   Error: 3.09
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.76,  1.07), (  1.40,  -1.40)   Error: 3.28
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.11076 

Goal, Curr: (-0.76,  0.97), (  0.48,  -1.40)   Error: 2.67
Last SG, Last State: ( -1.52,  -3.40), (  0.48,  -1.40)  SG Improvement:-0.00437 

Goal, Curr: (-0.82,  1.15), (  1.40,  -1.40)   Error: 3.38
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.17,  1.00), (  1.40,  -1.40)   Error: 3.52
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-1.07,  0.94), (  0.50,  -1.40)   Error: 2.81
Last SG, Last State: ( -1.51,  -3.40), (  0.49,  -1.40)  SG Improvement:-0.00197 

Goal, Curr: (-0.84,  1.23), (  1.40,  -1.40)   Error: 3.45
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-1.15,  1.10), (  0.49,  -1.40)   Error: 2.99
Last SG, Last State: ( -1.52,  -3.40), (  0.49,  -1.40)  SG Improvement:-0.00340 

Goal, Curr: (-1.15,  0.81), (  1.40,  -1.40)   Error: 3.37
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.10876 

Goal, Curr: (-1.11,  0.98), (  0.51,  -1.40)   Error: 2.88
Last SG, Last State: ( -1.50,  -3.40), (  0.51,  -1.40)  SG Improvement:-0.00068 

Goal, Curr: (-0.97,  1.20), (  1.40,  -1.40)   Error: 3.52
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:0.09477 

Goal, Curr: (-0.84,  0.93), (  0.49,  -1.40)   Error: 2.69
Last SG, Last State: ( -1.52,  -3.40), (  0.49,  -1.40)  SG Improvement:-0.00308 

Goal, Curr: (-0.85,  0.86), (  1.40,  -1.40)   Error: 3.19
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.05469 

Goal, Curr: (-1.14,  0.95), (  1.40,  -1.40)   Error: 3.46
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.18,  0.82), (  0.48,  -1.40)   Error: 2.77
