Using device: cpu
tamer-critic-gc-4.0-0.5-expl
Log radii:  [ 1.3862944  1.3862944 -0.9777797  1.3862944  1.3862944  1.3862944]
Adjusted log radii:  [1.37629437 1.67629433 1.71222043 2.27629423 1.37629437 1.67629433]
Last SG, Last State: (  1.80,  -2.60), ( -0.14,  -0.60)  SG Improvement:0.07357 

Goal, Curr: (-0.90,  1.06), ( -0.11,  -0.60)   Error: 1.84
Last SG, Last State: (  1.78,  -2.60), ( -0.16,  -0.60)  SG Improvement:0.07495 

Goal, Curr: (-1.12,  1.04), ( -0.12,  -0.60)   Error: 1.92
Last SG, Last State: (  1.77,  -2.60), ( -0.16,  -0.60)  SG Improvement:0.07892 

Goal, Curr: (-1.13,  0.97), ( -1.17,  -0.60)   Error: 1.57
Last SG, Last State: (  0.60,  -2.60), ( -1.34,  -0.60)  SG Improvement:0.62470 

Goal, Curr: (-0.88,  0.79), ( -0.11,  -0.60)   Error: 1.59
Last SG, Last State: (  1.81,  -2.60), ( -0.14,  -0.60)  SG Improvement:0.06237 

Goal, Curr: (-0.78,  1.21), ( -0.13,  -0.60)   Error: 1.93
Last SG, Last State: (  1.74,  -2.60), ( -0.18,  -0.60)  SG Improvement:0.08450 

Goal, Curr: (-1.20,  1.18), ( -0.09,  -0.60)   Error: 2.09
Last SG, Last State: (  1.85,  -2.60), ( -0.11,  -0.60)  SG Improvement:0.05294 

Goal, Curr: (-0.82,  1.05), ( -1.34,  -0.60)   Error: 1.73
Last SG, Last State: (  0.64,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.17075 

Goal, Curr: (-0.88,  1.17), ( -0.09,  -0.60)   Error: 1.94
Last SG, Last State: (  1.84,  -2.60), ( -0.11,  -0.60)  SG Improvement:0.06269 

episode:00400, mean:0.34, std:0.18, median:0.35, success:0.00
Goal, Curr: (-1.12,  0.82), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00004 

Goal, Curr: (-0.89,  1.09), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00006 

Goal, Curr: (-1.24,  0.96), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00010 

Goal, Curr: (-0.98,  1.15), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00007 

Goal, Curr: (-0.90,  1.08), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00011 

Goal, Curr: (-0.94,  0.99), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00011 

Goal, Curr: (-1.05,  1.01), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00006 

Goal, Curr: (-1.21,  0.75), ( -1.40,  -0.60)   Error: 1.37
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00009 

Goal, Curr: (-0.99,  0.90), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:-0.00006 

Goal, Curr: (-0.98,  0.84), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00005 

episode:00500, mean:0.33, std:0.14, median:0.34, success:0.00
Goal, Curr: (-0.78,  0.78), ( -1.39,  -0.61)   Error: 1.52
Last SG, Last State: (  0.60,   0.46), ( -1.39,  -0.61)  SG Improvement:-0.00077 

Goal, Curr: (-1.05,  0.82), ( -1.33,  -0.61)   Error: 1.46
Last SG, Last State: (  0.67,   0.67), ( -1.33,  -0.61)  SG Improvement:0.00143 

Goal, Curr: (-1.06,  1.13), ( -1.36,  -0.62)   Error: 1.78
Last SG, Last State: (  0.63,   0.47), ( -1.36,  -0.61)  SG Improvement:-0.00004 

Goal, Curr: (-1.13,  1.12), ( -0.85,  -0.75)   Error: 1.89
Last SG, Last State: (  1.15,  -0.19), ( -0.85,  -0.75)  SG Improvement:-0.01707 

Goal, Curr: (-0.80,  1.09), ( -1.38,  -0.62)   Error: 1.80
Last SG, Last State: (  0.62,   0.52), ( -1.38,  -0.62)  SG Improvement:0.03016 

Goal, Curr: (-1.05,  1.00), ( -1.25,  -0.60)   Error: 1.61
Last SG, Last State: (  0.88,   0.24), ( -1.19,  -0.60)  SG Improvement:-0.00080 

Goal, Curr: (-0.87,  0.76), ( -1.20,  -0.60)   Error: 1.40
Last SG, Last State: (  0.98,  -0.04), ( -1.10,  -0.60)  SG Improvement:-0.74635 

Goal, Curr: (-0.77,  0.91), ( -1.38,  -0.62)   Error: 1.65
Last SG, Last State: (  0.62,   0.55), ( -1.38,  -0.62)  SG Improvement:-0.00020 

Goal, Curr: (-0.99,  0.87), ( -1.38,  -0.61)   Error: 1.53
Last SG, Last State: (  0.62,   0.45), ( -1.38,  -0.61)  SG Improvement:-0.41007 

Goal, Curr: (-1.00,  0.81), ( -0.95,  -0.61)   Error: 1.42
Last SG, Last State: (  1.10,   0.06), ( -0.98,  -0.60)  SG Improvement:0.18101 

episode:00600, mean:0.33, std:0.20, median:0.36, success:0.00
Goal, Curr: (-1.07,  0.79), ( -1.40,  -1.40)   Error: 2.21
Last SG, Last State: (  0.58,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.01388 

Goal, Curr: (-1.22,  1.03), ( -1.40,  -1.40)   Error: 2.44
Last SG, Last State: (  0.59,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.00212 

Goal, Curr: (-1.18,  0.87), ( -1.40,  -1.40)   Error: 2.27
Last SG, Last State: (  0.59,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.00424 

Goal, Curr: (-1.16,  1.20), ( -1.40,  -1.40)   Error: 2.61
Last SG, Last State: (  0.59,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.00009 

Goal, Curr: (-1.23,  0.94), ( -1.40,  -1.40)   Error: 2.35
Last SG, Last State: (  0.59,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.02458 

Goal, Curr: (-1.13,  0.82), ( -1.40,  -1.40)   Error: 2.24
