Using device: cpu
no-correction-per2-crazy
Initializing with critic LR:  0.05  actor LR:  0.001
Initializing with critic LR:  0.001  actor LR:  0.0005
Goal, Curr: (-1.06,  0.97), ( -1.19,  -0.60)   Error: 1.58
Last SG, Last State: ( -1.36,  -1.07), ( -1.19,  -0.60)  SG Improvement:0.01361 

Goal, Curr: (-0.83,  1.12), (  0.43,  -0.93)   Error: 2.41
Last SG, Last State: (  0.24,  -1.50), (  0.43,  -0.93)  SG Improvement:-0.00000 

Goal, Curr: (-0.91,  0.88), (  0.82,  -0.73)   Error: 2.37
Last SG, Last State: (  0.64,  -1.29), (  0.82,  -0.73)  SG Improvement:0.00216 

Goal, Curr: (-1.24,  0.88), (  0.85,  -0.72)   Error: 2.63
Last SG, Last State: (  0.66,  -1.32), (  0.85,  -0.72)  SG Improvement:-0.00177 

Goal, Curr: (-1.04,  0.95), (  0.32,  -1.18)   Error: 2.53
Last SG, Last State: (  0.13,  -1.75), (  0.32,  -1.18)  SG Improvement:-0.00000 

Goal, Curr: (-1.22,  1.05), ( -1.17,  -0.60)   Error: 1.65
Last SG, Last State: ( -1.33,  -1.09), ( -1.16,  -0.60)  SG Improvement:-0.00290 

Goal, Curr: (-0.87,  0.91), (  0.31,  -1.14)   Error: 2.37
Last SG, Last State: (  0.13,  -1.69), (  0.31,  -1.14)  SG Improvement:0.00000 

Goal, Curr: (-1.16,  1.23), (  0.76,  -0.77)   Error: 2.77
Last SG, Last State: (  0.55,  -1.39), (  0.76,  -0.77)  SG Improvement:-0.00159 

Goal, Curr: (-1.20,  0.76), (  0.43,  -0.96)   Error: 2.36
Last SG, Last State: (  0.24,  -1.53), (  0.43,  -0.96)  SG Improvement:-0.00000 

Goal, Curr: (-0.84,  0.87), ( -0.25,  -1.39)   Error: 2.33
Last SG, Last State: ( -0.44,  -1.82), ( -0.25,  -1.39)  SG Improvement:-0.00000 

Goal, Curr: (-0.99,  0.84), (  0.36,  -1.12)   Error: 2.38
Last SG, Last State: (  0.17,  -1.67), (  0.36,  -1.12)  SG Improvement:0.00000 

Goal, Curr: (-1.03,  0.88), ( -1.01,  -1.10)   Error: 1.97
Last SG, Last State: ( -1.19,  -1.51), ( -1.01,  -1.10)  SG Improvement:-0.00054 

Goal, Curr: (-1.23,  1.07), (  0.51,  -0.97)   Error: 2.69
Last SG, Last State: (  0.31,  -1.58), (  0.51,  -0.97)  SG Improvement:-0.00000 

Goal, Curr: (-0.99,  1.11), (  1.12,  -0.68)   Error: 2.77
Last SG, Last State: (  0.89,  -1.39), (  1.10,  -0.73)  SG Improvement:-0.16270 

Goal, Curr: (-1.07,  1.04), ( -1.12,  -0.60)   Error: 1.64
Last SG, Last State: ( -1.27,  -1.08), ( -1.11,  -0.60)  SG Improvement:-0.00169 

episode:00100, mean:6.88, std:0.70, median:6.96, success:0.00
Goal, Curr: (-1.18,  0.83), ( -1.40,  -1.40)   Error: 2.24
Last SG, Last State: ( -1.60,  -1.94), ( -1.40,  -1.40)  SG Improvement:-0.07264 

Goal, Curr: (-1.10,  0.81), ( -1.40,  -0.60)   Error: 1.44
Last SG, Last State: ( -1.56,  -1.02), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.83,  1.14), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: ( -1.56,  -1.02), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.10,  0.78), ( -1.40,  -0.60)   Error: 1.41
Last SG, Last State: ( -1.56,  -1.01), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.16,  0.79), ( -1.40,  -1.40)   Error: 2.20
Last SG, Last State: ( -1.60,  -1.96), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.23), ( -1.40,  -1.27)   Error: 2.52
Last SG, Last State: ( -1.61,  -1.81), ( -1.40,  -1.24)  SG Improvement:-0.09036 

Goal, Curr: (-1.23,  1.08), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.59,  -1.20), ( -1.40,  -0.60)  SG Improvement:-1.33920 

Goal, Curr: (-1.18,  0.79), ( -1.40,  -0.60)   Error: 1.41
Last SG, Last State: ( -1.56,  -1.03), ( -1.40,  -0.60)  SG Improvement:-0.00012 

Goal, Curr: (-0.77,  1.13), ( -1.40,  -1.40)   Error: 2.61
Last SG, Last State: ( -1.60,  -1.96), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.82,  0.88), ( -1.40,  -1.40)   Error: 2.35
Last SG, Last State: ( -1.59,  -1.94), ( -1.40,  -1.40)  SG Improvement:-0.01292 

Goal, Curr: (-1.22,  0.86), ( -1.40,  -1.40)   Error: 2.27
Last SG, Last State: ( -1.60,  -1.98), ( -1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-1.25,  1.10), ( -1.40,  -1.40)   Error: 2.50
Last SG, Last State: ( -1.61,  -2.00), ( -1.40,  -1.40)  SG Improvement:-0.01988 

Goal, Curr: (-0.86,  0.79), ( -1.40,  -1.40)   Error: 2.25
Last SG, Last State: ( -1.59,  -1.93), ( -1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-1.03,  0.76), ( -1.40,  -0.60)   Error: 1.41
Last SG, Last State: ( -1.56,  -1.00), ( -1.40,  -0.60)  SG Improvement:0.00002 

