Using device: cpu
no-correction-12-2
Goal, Curr: (-0.85,  1.24), ( -1.40,  -0.63)   Error: 1.95
Last SG, Last State: (  0.58,   1.40), ( -1.37,  -0.68)  SG Improvement:0.61262 

Goal, Curr: (-1.00,  1.11), ( -1.40,  -0.61)   Error: 1.77
Last SG, Last State: (  0.59,   1.40), ( -1.36,  -0.68)  SG Improvement:0.64264 

Goal, Curr: (-0.88,  0.98), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: (  0.60,   1.38), ( -1.40,  -0.60)  SG Improvement:-0.02353 

Goal, Curr: (-1.19,  0.93), ( -1.40,  -0.61)   Error: 1.56
Last SG, Last State: (  0.59,   1.40), ( -1.37,  -0.68)  SG Improvement:0.59207 

Goal, Curr: (-1.11,  1.03), ( -1.40,  -0.62)   Error: 1.67
Last SG, Last State: (  0.07,   1.35), ( -1.40,  -0.65)  SG Improvement:-2.11774 

Goal, Curr: (-1.23,  0.84), ( -1.36,  -0.68)   Error: 1.53
Last SG, Last State: (  0.61,   1.33), ( -1.40,  -0.60)  SG Improvement:0.14361 

Goal, Curr: (-0.75,  1.07), ( -1.40,  -0.63)   Error: 1.82
Last SG, Last State: (  0.24,   1.32), ( -1.40,  -0.64)  SG Improvement:-1.25356 

Goal, Curr: (-1.05,  0.91), ( -1.40,  -0.79)   Error: 1.73
Last SG, Last State: (  0.60,   1.20), ( -1.40,  -0.80)  SG Improvement:0.00292 

Goal, Curr: (-1.03,  1.02), ( -1.40,  -0.59)   Error: 1.66
Last SG, Last State: (  0.60,   1.30), ( -1.40,  -0.65)  SG Improvement:0.02489 

Goal, Curr: (-1.13,  1.02), ( -1.37,  -0.67)   Error: 1.71
Last SG, Last State: (  0.60,   1.39), ( -1.40,  -0.60)  SG Improvement:0.36351 

Goal, Curr: (-0.79,  0.97), ( -1.40,  -0.68)   Error: 1.76
Last SG, Last State: (  0.60,   1.34), ( -1.40,  -0.65)  SG Improvement:0.38872 

Goal, Curr: (-1.23,  0.81), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: (  0.53,   1.32), ( -1.40,  -0.62)  SG Improvement:-1.20926 

Goal, Curr: (-0.85,  0.93), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: (  0.60,   1.37), ( -1.40,  -0.61)  SG Improvement:0.00890 

Goal, Curr: (-1.22,  1.25), ( -1.40,  -0.62)   Error: 1.88
Last SG, Last State: (  0.41,   1.32), ( -1.40,  -0.64)  SG Improvement:-1.23551 

Goal, Curr: (-1.11,  0.93), ( -1.40,  -1.26)   Error: 2.21
Last SG, Last State: (  0.60,   0.75), ( -1.40,  -1.25)  SG Improvement:-0.00102 

Goal, Curr: (-0.83,  0.82), ( -1.37,  -0.65)   Error: 1.57
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.37907 

Goal, Curr: (-0.79,  0.78), ( -1.40,  -0.63)   Error: 1.54
Last SG, Last State: ( -0.24,   1.33), ( -1.41,  -0.68)  SG Improvement:-1.46449 

Goal, Curr: (-0.93,  1.00), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: (  0.56,   1.40), ( -1.41,  -0.60)  SG Improvement:-0.64469 

Goal, Curr: (-0.94,  1.00), ( -1.40,  -0.62)   Error: 1.69
Last SG, Last State: (  0.60,   1.31), ( -1.40,  -0.71)  SG Improvement:-0.27189 

Goal, Curr: (-1.02,  1.22), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: (  0.00,   1.37), ( -1.40,  -0.63)  SG Improvement:-2.18125 

Goal, Curr: (-1.16,  1.01), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: (  0.59,   1.32), ( -1.40,  -0.61)  SG Improvement:-1.13207 

Goal, Curr: (-1.00,  0.96), ( -1.40,  -0.62)   Error: 1.63
Last SG, Last State: (  0.59,   1.40), ( -1.37,  -0.67)  SG Improvement:0.01231 

Goal, Curr: (-1.15,  0.90), ( -1.37,  -0.68)   Error: 1.59
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.32688 

Goal, Curr: (-0.86,  0.86), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: (  0.59,   1.32), ( -1.40,  -0.62)  SG Improvement:-1.01472 

Goal, Curr: (-0.85,  1.18), ( -1.40,  -0.60)   Error: 1.87
Last SG, Last State: (  0.49,   1.32), ( -1.40,  -0.61)  SG Improvement:-1.30025 

Goal, Curr: (-1.20,  1.06), ( -1.40,  -0.63)   Error: 1.70
Last SG, Last State: (  0.60,   1.38), ( -1.39,  -0.63)  SG Improvement:0.75697 

Goal, Curr: (-0.90,  0.90), ( -1.40,  -0.67)   Error: 1.64
Last SG, Last State: (  0.60,   1.39), ( -1.39,  -0.67)  SG Improvement:0.64183 

Goal, Curr: (-0.92,  0.92), ( -1.37,  -0.67)   Error: 1.66
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.35766 

Goal, Curr: (-1.16,  0.77), ( -1.40,  -0.60)   Error: 1.39
Last SG, Last State: (  0.23,   1.37), ( -1.40,  -0.62)  SG Improvement:-2.40616 

Goal, Curr: (-0.78,  1.15), ( -1.40,  -0.63)   Error: 1.89
Last SG, Last State: (  0.27,   1.32), ( -1.40,  -0.64)  SG Improvement:-1.25938 

Goal, Curr: (-1.13,  1.15), ( -1.40,  -0.62)   Error: 1.80
Last SG, Last State: (  0.58,   1.40), ( -1.36,  -0.68)  SG Improvement:0.95115 

Goal, Curr: (-0.81,  0.91), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: (  0.60,   1.33), ( -1.40,  -0.63)  SG Improvement:0.01937 

Goal, Curr: (-1.10,  0.82), ( -1.39,  -0.65)   Error: 1.50
Last SG, Last State: (  0.61,   1.33), ( -1.40,  -0.62)  SG Improvement:0.09198 

Goal, Curr: (-1.14,  0.98), ( -1.40,  -0.68)   Error: 1.68
Last SG, Last State: (  0.60,   1.39), ( -1.39,  -0.69)  SG Improvement:0.44808 

Goal, Curr: (-0.90,  0.82), ( -1.40,  -0.73)   Error: 1.63
Last SG, Last State: (  0.60,   1.25), ( -1.40,  -0.74)  SG Improvement:0.00296 

Goal, Curr: (-1.18,  0.88), ( -1.39,  -0.69)   Error: 1.58
Last SG, Last State: (  0.61,   1.34), ( -1.40,  -0.61)  SG Improvement:0.04716 

Goal, Curr: (-0.87,  1.18), ( -1.40,  -0.63)   Error: 1.89
Last SG, Last State: (  0.60,   1.37), ( -1.39,  -0.63)  SG Improvement:0.61165 

Goal, Curr: (-0.77,  1.21), ( -1.40,  -0.75)   Error: 2.05
Last SG, Last State: (  0.60,   1.24), ( -1.40,  -0.76)  SG Improvement:0.00388 

Goal, Curr: (-1.05,  1.24), ( -1.40,  -0.60)   Error: 1.87
Last SG, Last State: (  0.44,   1.32), ( -1.40,  -0.64)  SG Improvement:-0.66202 

Goal, Curr: (-0.80,  1.01), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: (  0.60,   1.33), ( -1.40,  -0.62)  SG Improvement:0.01295 

Goal, Curr: (-0.80,  1.08), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: (  0.06,   1.37), ( -1.40,  -0.63)  SG Improvement:-2.16389 

Goal, Curr: (-1.17,  0.96), ( -1.37,  -0.67)   Error: 1.64
Last SG, Last State: (  0.60,   1.39), ( -1.40,  -0.60)  SG Improvement:0.38353 

Goal, Curr: (-0.83,  1.23), ( -1.40,  -0.62)   Error: 1.93
Last SG, Last State: (  0.59,   1.40), ( -1.38,  -0.68)  SG Improvement:0.61784 

Goal, Curr: (-1.00,  1.08), ( -1.40,  -0.71)   Error: 1.84
Last SG, Last State: (  0.60,   1.27), ( -1.40,  -0.72)  SG Improvement:0.00360 

Goal, Curr: (-0.90,  0.90), ( -1.40,  -0.63)   Error: 1.61
Last SG, Last State: (  0.39,   1.32), ( -1.40,  -0.64)  SG Improvement:-1.24055 

Goal, Curr: (-1.22,  1.04), ( -1.37,  -0.68)   Error: 1.72
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.44961 

Goal, Curr: (-1.08,  1.13), ( -1.38,  -0.68)   Error: 1.83
Last SG, Last State: (  0.60,   1.39), ( -1.40,  -0.60)  SG Improvement:0.36855 

Goal, Curr: (-1.12,  1.24), ( -1.38,  -0.68)   Error: 1.93
Last SG, Last State: (  0.60,   1.39), ( -1.40,  -0.60)  SG Improvement:0.36428 

Goal, Curr: (-1.04,  0.88), ( -1.40,  -0.65)   Error: 1.57
Last SG, Last State: (  0.60,   1.39), ( -1.39,  -0.65)  SG Improvement:0.46858 

Goal, Curr: (-0.96,  1.02), ( -1.38,  -0.68)   Error: 1.75
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.32907 

episode:00100, mean:5.64, std:0.48, median:5.55, success:0.00
Goal, Curr: (-1.03,  0.79), ( -0.78,  -1.19)   Error: 2.00
Last SG, Last State: (  1.22,   0.81), ( -0.78,  -1.19)  SG Improvement:-0.01976 

Goal, Curr: (-1.22,  1.05), ( -0.67,  -0.72)   Error: 1.85
Last SG, Last State: (  1.32,   1.28), ( -0.68,  -0.72)  SG Improvement:0.00562 

Goal, Curr: (-1.19,  1.13), ( -0.04,  -0.60)   Error: 2.07
Last SG, Last State: (  1.92,   1.40), ( -0.06,  -0.60)  SG Improvement:-0.00325 

Goal, Curr: (-0.78,  0.87), ( -0.07,  -0.60)   Error: 1.63
Last SG, Last State: (  1.89,   1.40), ( -0.08,  -0.60)  SG Improvement:0.00132 

