Using device: cpu
base-hiro-very-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08

Goal, Curr: (-1.13,  1.18), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02376 

Goal, Curr: (-1.17,  1.24), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02371 

Goal, Curr: (-1.05,  1.13), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02379 

Goal, Curr: (-0.82,  1.00), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02398 

Goal, Curr: (-0.83,  1.22), ( -1.40,  -0.60)   Error: 1.91
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02392 

Goal, Curr: (-1.09,  1.20), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02371 

Goal, Curr: (-0.80,  1.24), ( -1.40,  -0.60)   Error: 1.94
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02395 

Goal, Curr: (-1.12,  1.06), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02395 

Goal, Curr: (-1.13,  0.99), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02404 

Goal, Curr: (-1.24,  0.99), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02412 

Goal, Curr: (-1.03,  0.86), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02420 

Goal, Curr: (-0.83,  1.03), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02397 

Goal, Curr: (-0.81,  1.19), ( -1.40,  -0.60)   Error: 1.88
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02394 

Goal, Curr: (-0.94,  1.10), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02384 

Goal, Curr: (-1.06,  1.16), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02375 

Goal, Curr: (-1.13,  1.09), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02392 

episode:00100, mean:6.06, std:0.52, median:6.08, success:0.00
Goal, Curr: (-0.83,  1.05), ( -0.29,  -0.60)   Error: 1.73
Last SG, Last State: ( -0.61,  -0.60), ( -0.45,  -0.60)  SG Improvement:-0.28146 

Goal, Curr: (-1.17,  1.09), ( -0.41,  -0.60)   Error: 1.86
Last SG, Last State: ( -0.72,  -0.60), ( -0.56,  -0.60)  SG Improvement:-0.17414 

Goal, Curr: (-1.05,  0.93), ( -0.45,  -0.60)   Error: 1.65
Last SG, Last State: ( -0.76,  -0.60), ( -0.61,  -0.60)  SG Improvement:-0.17572 

Goal, Curr: (-0.79,  0.76), ( -0.44,  -0.59)   Error: 1.40
Last SG, Last State: ( -0.75,  -0.60), ( -0.60,  -0.60)  SG Improvement:-0.17573 

Goal, Curr: (-1.15,  1.21), ( -0.42,  -0.60)   Error: 1.95
Last SG, Last State: ( -0.73,  -0.60), ( -0.57,  -0.60)  SG Improvement:-0.17447 

Goal, Curr: (-1.08,  0.80), ( -0.48,  -0.60)   Error: 1.52
Last SG, Last State: ( -0.78,  -0.60), ( -0.63,  -0.60)  SG Improvement:-0.17660 

Goal, Curr: (-1.22,  1.18), ( -0.37,  -0.60)   Error: 1.97
Last SG, Last State: ( -0.68,  -0.60), ( -0.53,  -0.60)  SG Improvement:-0.17303 

Goal, Curr: (-0.86,  0.88), ( -0.42,  -0.60)   Error: 1.55
Last SG, Last State: ( -0.73,  -0.60), ( -0.58,  -0.60)  SG Improvement:-0.17496 

Goal, Curr: (-1.11,  0.95), ( -0.26,  -0.60)   Error: 1.77
Last SG, Last State: ( -0.58,  -0.60), ( -0.43,  -0.60)  SG Improvement:-0.17080 

Goal, Curr: (-1.21,  1.09), ( -0.42,  -0.60)   Error: 1.87
Last SG, Last State: ( -0.73,  -0.60), ( -0.57,  -0.60)  SG Improvement:-0.17435 

Goal, Curr: (-1.07,  0.94), ( -0.47,  -0.59)   Error: 1.64
Last SG, Last State: ( -0.77,  -0.60), ( -0.62,  -0.60)  SG Improvement:-0.17606 

Goal, Curr: (-1.25,  0.91), ( -0.32,  -0.60)   Error: 1.78
Last SG, Last State: ( -0.64,  -0.60), ( -0.48,  -0.59)  SG Improvement:-1.24842 

Goal, Curr: (-0.80,  1.06), ( -0.27,  -0.60)   Error: 1.74
Last SG, Last State: ( -0.59,  -0.60), ( -0.43,  -0.60)  SG Improvement:-0.17108 

Goal, Curr: (-0.84,  0.82), ( -0.47,  -0.60)   Error: 1.47
Last SG, Last State: ( -0.77,  -0.60), ( -0.62,  -0.60)  SG Improvement:-0.17653 

Goal, Curr: (-0.93,  0.79), ( -0.36,  -0.60)   Error: 1.51
Last SG, Last State: ( -0.67,  -0.60), ( -0.51,  -0.60)  SG Improvement:-0.17305 

Goal, Curr: (-1.09,  1.23), ( -0.34,  -0.60)   Error: 1.97
Last SG, Last State: ( -0.66,  -0.60), ( -0.50,  -0.60)  SG Improvement:-0.17253 

Goal, Curr: (-1.11,  0.89), ( -0.46,  -0.59)   Error: 1.62
Last SG, Last State: ( -0.76,  -0.60), ( -0.61,  -0.60)  SG Improvement:-0.17578 

Goal, Curr: (-1.12,  1.03), ( -0.44,  -0.60)   Error: 1.77
Last SG, Last State: ( -0.75,  -0.60), ( -0.60,  -0.60)  SG Improvement:-0.17522 

Goal, Curr: (-0.91,  0.98), ( -0.38,  -0.60)   Error: 1.67
Last SG, Last State: ( -0.69,  -0.60), ( -0.53,  -0.60)  SG Improvement:-0.17359 

Goal, Curr: (-1.07,  1.23), ( -0.41,  -0.60)   Error: 1.94
Last SG, Last State: ( -0.72,  -0.60), ( -0.56,  -0.60)  SG Improvement:-0.17432 

Goal, Curr: (-0.85,  0.80), ( -0.43,  -0.60)   Error: 1.46
Last SG, Last State: ( -0.73,  -0.60), ( -0.58,  -0.60)  SG Improvement:-0.17515 

Goal, Curr: (-1.14,  0.99), ( -0.39,  -0.60)   Error: 1.76
Last SG, Last State: ( -0.70,  -0.60), ( -0.55,  -0.60)  SG Improvement:-0.17378 

Goal, Curr: (-1.22,  0.90), ( -0.33,  -0.60)   Error: 1.75
Last SG, Last State: ( -0.64,  -0.60), ( -0.49,  -0.60)  SG Improvement:-0.17340 

Goal, Curr: (-0.81,  1.20), ( -0.44,  -0.60)   Error: 1.84
Last SG, Last State: ( -0.74,  -0.60), ( -0.59,  -0.60)  SG Improvement:-0.17542 

Goal, Curr: (-1.15,  0.99), ( -0.28,  -0.60)   Error: 1.81
Last SG, Last State: ( -0.60,  -0.60), ( -0.44,  -0.59)  SG Improvement:-0.28269 

Goal, Curr: (-1.25,  1.21), ( -0.30,  -0.60)   Error: 2.05
Last SG, Last State: ( -0.61,  -0.60), ( -0.46,  -0.60)  SG Improvement:-0.17136 

Goal, Curr: (-1.23,  0.94), ( -0.32,  -0.60)   Error: 1.79
Last SG, Last State: ( -0.64,  -0.60), ( -0.48,  -0.60)  SG Improvement:-0.17473 

Goal, Curr: (-1.03,  0.88), ( -0.36,  -0.60)   Error: 1.63
Last SG, Last State: ( -0.68,  -0.60), ( -0.52,  -0.60)  SG Improvement:-0.17309 

Goal, Curr: (-1.01,  1.12), ( -0.31,  -0.60)   Error: 1.86
Last SG, Last State: ( -0.62,  -0.60), ( -0.47,  -0.59)  SG Improvement:-0.34476 

Goal, Curr: (-0.91,  0.76), ( -0.37,  -0.60)   Error: 1.46
Last SG, Last State: ( -0.68,  -0.60), ( -0.53,  -0.60)  SG Improvement:-0.17341 

Goal, Curr: (-1.23,  0.94), ( -0.39,  -0.60)   Error: 1.75
Last SG, Last State: ( -0.70,  -0.60), ( -0.55,  -0.60)  SG Improvement:-0.17350 

Goal, Curr: (-0.78,  1.12), ( -0.30,  -0.60)   Error: 1.79
Last SG, Last State: ( -0.62,  -0.60), ( -0.46,  -0.59)  SG Improvement:-0.34491 

Goal, Curr: (-1.03,  1.09), ( -0.31,  -0.60)   Error: 1.84
Last SG, Last State: ( -0.62,  -0.60), ( -0.47,  -0.60)  SG Improvement:-0.17320 

Goal, Curr: (-1.14,  0.79), ( -0.39,  -0.60)   Error: 1.58
Last SG, Last State: ( -0.70,  -0.60), ( -0.54,  -0.60)  SG Improvement:-0.17348 

Goal, Curr: (-0.86,  0.99), ( -0.22,  -0.60)   Error: 1.72
Last SG, Last State: ( -0.54,  -0.60), ( -0.38,  -0.60)  SG Improvement:-0.18377 

Goal, Curr: (-0.95,  1.01), ( -0.25,  -0.60)   Error: 1.75
Last SG, Last State: ( -0.57,  -0.60), ( -0.42,  -0.60)  SG Improvement:-0.21150 

Goal, Curr: (-1.02,  1.15), ( -0.32,  -0.60)   Error: 1.89
Last SG, Last State: ( -0.64,  -0.60), ( -0.48,  -0.59)  SG Improvement:-1.24850 

Goal, Curr: (-1.16,  0.85), ( -0.45,  -0.60)   Error: 1.62
