Using device: cpu
gc-4.0-fin2
Goal, Curr: (-0.92,  1.03), ( -1.18,  -0.94)   Error: 1.98
Last SG, Last State: ( -3.17,  -2.94), ( -1.17,  -0.94)  SG Improvement:0.00153 

Goal, Curr: (-0.98,  1.12), ( -1.40,  -1.40)   Error: 2.55
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-1.20,  0.92), ( -0.13,  -1.40)   Error: 2.55
Last SG, Last State: ( -2.22,  -3.39), ( -0.18,  -1.40)  SG Improvement:-0.02520 

Goal, Curr: (-0.83,  0.93), ( -0.91,  -0.77)   Error: 1.70
Last SG, Last State: ( -2.91,  -2.77), ( -0.91,  -0.77)  SG Improvement:0.00124 

Goal, Curr: (-1.15,  1.09), ( -1.40,  -1.40)   Error: 2.50
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-1.21,  1.08), ( -1.05,  -0.82)   Error: 1.91
Last SG, Last State: ( -3.05,  -2.82), ( -1.05,  -0.82)  SG Improvement:0.00013 

Goal, Curr: (-0.78,  0.78), ( -1.03,  -1.07)   Error: 1.86
Last SG, Last State: ( -3.01,  -3.06), ( -1.02,  -1.06)  SG Improvement:0.00503 

Goal, Curr: (-1.03,  0.75), (  0.02,  -1.40)   Error: 2.39
Last SG, Last State: ( -2.06,  -3.38), ( -0.02,  -1.40)  SG Improvement:-0.01831 

Goal, Curr: (-1.22,  1.05), ( -0.88,  -0.76)   Error: 1.84
Last SG, Last State: ( -2.87,  -2.76), ( -0.87,  -0.76)  SG Improvement:0.00114 

Goal, Curr: (-1.04,  1.08), ( -1.11,  -0.95)   Error: 2.03
Last SG, Last State: ( -3.11,  -2.95), ( -1.11,  -0.95)  SG Improvement:0.00204 

Goal, Curr: (-0.97,  0.90), ( -1.40,  -1.40)   Error: 2.33
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-1.09,  0.87), ( -1.24,  -1.13)   Error: 2.00
Last SG, Last State: ( -3.30,  -3.13), ( -1.27,  -1.13)  SG Improvement:-0.01633 

Goal, Curr: (-1.13,  0.88), ( -0.87,  -0.79)   Error: 1.70
Last SG, Last State: ( -2.86,  -2.79), ( -0.87,  -0.79)  SG Improvement:0.00151 

Goal, Curr: (-0.91,  0.99), ( -1.24,  -1.01)   Error: 2.03
Last SG, Last State: ( -3.23,  -3.01), ( -1.24,  -1.01)  SG Improvement:0.00472 

Goal, Curr: (-1.15,  0.82), ( -1.40,  -1.40)   Error: 2.23
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.00002 

Goal, Curr: (-1.04,  1.22), ( -0.92,  -1.00)   Error: 2.22
Last SG, Last State: ( -2.92,  -3.00), ( -0.92,  -1.00)  SG Improvement:0.00208 

Goal, Curr: (-1.24,  1.10), (  0.04,  -1.40)   Error: 2.81
Last SG, Last State: ( -2.05,  -3.39), ( -0.01,  -1.40)  SG Improvement:-0.01815 

Goal, Curr: (-0.94,  0.89), ( -0.99,  -0.77)   Error: 1.65
Last SG, Last State: ( -2.99,  -2.77), ( -0.99,  -0.77)  SG Improvement:-0.00005 

Goal, Curr: (-1.20,  0.90), ( -0.95,  -0.85)   Error: 1.77
Last SG, Last State: ( -2.94,  -2.85), ( -0.94,  -0.85)  SG Improvement:0.00068 

Goal, Curr: (-0.81,  1.20), ( -1.14,  -0.85)   Error: 2.08
Last SG, Last State: ( -3.14,  -2.85), ( -1.14,  -0.85)  SG Improvement:0.00008 

Goal, Curr: (-0.75,  0.77), ( -1.24,  -0.98)   Error: 1.81
Last SG, Last State: ( -3.24,  -2.97), ( -1.24,  -0.98)  SG Improvement:0.00041 

Goal, Curr: (-0.88,  1.16), ( -1.22,  -0.91)   Error: 2.11
Last SG, Last State: ( -3.22,  -2.91), ( -1.22,  -0.91)  SG Improvement:0.00030 

Goal, Curr: (-1.05,  0.89), ( -0.20,  -1.34)   Error: 2.39
Last SG, Last State: ( -2.27,  -3.32), ( -0.23,  -1.33)  SG Improvement:-0.01745 

Goal, Curr: (-0.77,  1.06), ( -1.09,  -0.92)   Error: 2.01
Last SG, Last State: ( -3.09,  -2.92), ( -1.09,  -0.92)  SG Improvement:0.00046 

Goal, Curr: (-1.17,  0.79), ( -1.15,  -0.79)   Error: 1.58
Last SG, Last State: ( -3.16,  -2.79), ( -1.15,  -0.79)  SG Improvement:-0.00071 

Goal, Curr: (-1.03,  0.95), ( -1.13,  -0.81)   Error: 1.77
Last SG, Last State: ( -3.13,  -2.81), ( -1.13,  -0.81)  SG Improvement:-0.00039 

Goal, Curr: (-1.04,  1.21), ( -1.20,  -0.82)   Error: 2.03
Last SG, Last State: ( -3.20,  -2.82), ( -1.20,  -0.82)  SG Improvement:-0.00051 

Goal, Curr: (-0.75,  1.24), ( -1.40,  -1.27)   Error: 2.59
Last SG, Last State: ( -3.40,  -3.23), ( -1.40,  -1.25)  SG Improvement:0.00765 

Goal, Curr: (-0.76,  1.25), ( -1.12,  -0.85)   Error: 2.12
Last SG, Last State: ( -3.12,  -2.85), ( -1.12,  -0.85)  SG Improvement:0.00012 

Goal, Curr: (-1.06,  0.86), ( -0.93,  -0.92)   Error: 1.79
Last SG, Last State: ( -2.93,  -2.92), ( -0.93,  -0.92)  SG Improvement:0.00110 

Goal, Curr: (-1.02,  1.23), ( -1.04,  -0.91)   Error: 2.14
Last SG, Last State: ( -3.04,  -2.91), ( -1.04,  -0.91)  SG Improvement:0.00056 

Goal, Curr: (-0.85,  0.97), ( -1.17,  -0.92)   Error: 1.91
Last SG, Last State: ( -3.16,  -2.92), ( -1.16,  -0.92)  SG Improvement:0.00028 

Goal, Curr: (-0.86,  1.01), ( -0.13,  -1.29)   Error: 2.41
Last SG, Last State: ( -2.20,  -3.27), ( -0.17,  -1.28)  SG Improvement:-0.01813 

Goal, Curr: (-0.94,  0.91), ( -0.81,  -0.78)   Error: 1.70
Last SG, Last State: ( -2.81,  -2.78), ( -0.81,  -0.78)  SG Improvement:0.00090 

Goal, Curr: (-1.00,  1.05), ( -0.59,  -1.20)   Error: 2.29
Last SG, Last State: ( -2.65,  -3.18), ( -0.62,  -1.19)  SG Improvement:-0.01647 

Goal, Curr: (-1.01,  0.79), ( -1.13,  -0.93)   Error: 1.72
Last SG, Last State: ( -3.13,  -2.93), ( -1.13,  -0.93)  SG Improvement:0.00033 

Goal, Curr: (-1.16,  0.87), ( -1.40,  -1.38)   Error: 2.26
Last SG, Last State: ( -3.40,  -3.32), ( -1.40,  -1.35)  SG Improvement:0.01481 

Goal, Curr: (-0.88,  1.08), (  0.03,  -1.38)   Error: 2.63
Last SG, Last State: ( -2.04,  -3.36), ( -0.00,  -1.37)  SG Improvement:-0.01774 

Goal, Curr: (-1.19,  0.83), (  0.12,  -1.40)   Error: 2.59
Last SG, Last State: ( -1.98,  -3.40), (  0.07,  -1.40)  SG Improvement:-0.03576 

Goal, Curr: (-0.80,  1.18), ( -1.40,  -1.36)   Error: 2.61
Last SG, Last State: ( -3.40,  -3.31), ( -1.40,  -1.33)  SG Improvement:0.01977 

Goal, Curr: (-1.24,  1.14), ( -0.99,  -0.95)   Error: 2.10
Last SG, Last State: ( -2.99,  -2.95), ( -0.99,  -0.95)  SG Improvement:0.00109 

Goal, Curr: (-1.17,  0.89), ( -1.39,  -1.20)   Error: 2.10
Last SG, Last State: ( -3.33,  -3.18), ( -1.36,  -1.19)  SG Improvement:0.02492 

Goal, Curr: (-1.20,  1.02), ( -1.13,  -0.95)   Error: 1.96
Last SG, Last State: ( -3.13,  -2.95), ( -1.13,  -0.95)  SG Improvement:0.00037 

Goal, Curr: (-0.84,  0.94), ( -1.16,  -0.98)   Error: 1.95
Last SG, Last State: ( -3.16,  -2.98), ( -1.16,  -0.98)  SG Improvement:0.00037 

Goal, Curr: (-0.84,  0.94), ( -0.92,  -1.01)   Error: 1.95
Last SG, Last State: ( -2.91,  -3.01), ( -0.92,  -1.01)  SG Improvement:0.00252 

Goal, Curr: (-0.94,  1.21), ( -1.16,  -0.85)   Error: 2.06
Last SG, Last State: ( -3.16,  -2.85), ( -1.16,  -0.85)  SG Improvement:-0.00010 

Goal, Curr: (-0.87,  0.88), (  0.06,  -1.40)   Error: 2.46
Last SG, Last State: ( -2.01,  -3.38), (  0.03,  -1.39)  SG Improvement:-0.01808 

Goal, Curr: (-1.19,  1.23), ( -0.26,  -1.25)   Error: 2.65
Last SG, Last State: ( -2.33,  -3.23), ( -0.29,  -1.24)  SG Improvement:-0.01204 

Goal, Curr: (-0.92,  0.80), (  0.15,  -1.40)   Error: 2.44
Last SG, Last State: ( -1.95,  -3.40), (  0.11,  -1.40)  SG Improvement:-0.03598 

Goal, Curr: (-1.01,  1.12), (  0.16,  -1.40)   Error: 2.77
Last SG, Last State: ( -1.94,  -3.40), (  0.11,  -1.40)  SG Improvement:-0.03597 

episode:00100, mean:6.04, std:0.61, median:6.05, success:0.00
Goal, Curr: (-1.08,  0.80), ( -0.90,  -1.12)   Error: 1.93
Last SG, Last State: ( -2.90,  -3.12), ( -0.90,  -1.12)  SG Improvement:-0.00000 

Goal, Curr: (-0.83,  0.78), ( -0.86,  -1.16)   Error: 1.94
Last SG, Last State: ( -2.86,  -3.16), ( -0.86,  -1.16)  SG Improvement:-0.00000 

