Using device: cpu
no-correct-actual2-per-ridiculously-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06458 

Goal, Curr: (-1.08,  1.21), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07314 

Goal, Curr: (-1.17,  1.17), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07739 

Goal, Curr: (-1.06,  0.94), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07620 

Goal, Curr: (-0.83,  1.02), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07110 

Goal, Curr: (-0.88,  0.95), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06842 

Goal, Curr: (-1.24,  0.98), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07778 

Goal, Curr: (-1.14,  1.23), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07547 

Goal, Curr: (-1.13,  0.92), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07252 

Goal, Curr: (-1.18,  1.21), ( -1.40,  -0.60)   Error: 1.82
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06450 

Goal, Curr: (-1.09,  0.80), ( -1.40,  -0.60)   Error: 1.44
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07101 

Goal, Curr: (-0.99,  0.78), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06273 

Goal, Curr: (-1.04,  0.91), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07654 

Goal, Curr: (-1.09,  1.09), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06838 

Goal, Curr: (-1.02,  0.87), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.05670 

Goal, Curr: (-0.98,  1.04), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07469 

Goal, Curr: (-0.88,  0.82), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06970 

episode:00100, mean:5.91, std:0.62, median:5.94, success:0.00
Goal, Curr: (-0.95,  1.18), ( -1.06,  -0.60)   Error: 1.79
Last SG, Last State: ( -1.14,  -0.60), ( -1.10,  -0.60)  SG Improvement:-0.08128 

Goal, Curr: (-0.99,  1.21), ( -1.26,  -0.60)   Error: 1.83
Last SG, Last State: ( -1.31,  -0.60), ( -1.28,  -0.60)  SG Improvement:-0.06542 

Goal, Curr: (-1.12,  1.04), ( -1.15,  -0.60)   Error: 1.64
Last SG, Last State: ( -1.22,  -0.60), ( -1.18,  -0.60)  SG Improvement:-0.07586 

Goal, Curr: (-0.92,  1.14), ( -1.30,  -0.60)   Error: 1.79
Last SG, Last State: ( -1.35,  -0.60), ( -1.32,  -0.60)  SG Improvement:-0.06455 

