Using device: cpu
gc-4.0-fin3
Last SG, Last State: ( -0.60,  -2.60), (  1.40,  -0.59)  SG Improvement:-0.01591 

Goal, Curr: (-1.12,  0.99), (  1.40,   0.10)   Error: 2.67
Last SG, Last State: ( -0.60,  -2.00), (  1.40,  -0.00)  SG Improvement:0.02126 

Goal, Curr: (-0.90,  1.19), (  1.40,   0.02)   Error: 2.58
Last SG, Last State: ( -0.60,  -2.08), (  1.40,  -0.08)  SG Improvement:0.02209 

Goal, Curr: (-1.10,  1.21), (  1.40,  -0.45)   Error: 3.00
Last SG, Last State: ( -0.89,  -2.51), (  1.30,  -0.48)  SG Improvement:-0.13363 

Goal, Curr: (-1.16,  1.16), (  1.40,  -0.67)   Error: 3.15
Last SG, Last State: ( -0.96,  -2.65), (  1.23,  -0.66)  SG Improvement:-0.13337 

Goal, Curr: (-1.02,  1.09), (  1.40,  -0.38)   Error: 2.83
Last SG, Last State: ( -0.60,  -2.50), (  1.40,  -0.40)  SG Improvement:0.02966 

Goal, Curr: (-0.79,  1.25), (  1.40,  -0.37)   Error: 2.72
Last SG, Last State: ( -0.60,  -2.49), (  1.40,  -0.38)  SG Improvement:0.01253 

Goal, Curr: (-0.95,  1.12), (  1.40,   0.02)   Error: 2.59
Last SG, Last State: ( -0.60,  -2.09), (  1.40,  -0.08)  SG Improvement:0.02216 

Goal, Curr: (-0.75,  0.79), (  1.40,  -0.18)   Error: 2.36
Last SG, Last State: ( -0.60,  -2.30), (  1.40,  -0.19)  SG Improvement:0.03334 

Goal, Curr: (-0.91,  1.04), (  1.40,  -0.07)   Error: 2.56
Last SG, Last State: ( -0.60,  -2.19), (  1.40,  -0.18)  SG Improvement:0.02276 

Goal, Curr: (-1.16,  0.83), (  1.40,  -0.18)   Error: 2.75
Last SG, Last State: ( -0.60,  -2.30), (  1.40,  -0.19)  SG Improvement:0.03400 

Goal, Curr: (-0.94,  1.04), (  1.40,  -0.18)   Error: 2.64
Last SG, Last State: ( -0.60,  -2.30), (  1.40,  -0.19)  SG Improvement:0.03388 

Goal, Curr: (-1.01,  1.08), (  1.40,  -0.35)   Error: 2.80
Last SG, Last State: ( -0.60,  -2.46), (  1.40,  -0.45)  SG Improvement:0.03314 

Goal, Curr: (-1.18,  0.77), (  1.40,  -0.44)   Error: 2.85
Last SG, Last State: ( -0.60,  -2.55), (  1.40,  -0.55)  SG Improvement:0.02172 

Goal, Curr: (-0.89,  1.03), (  1.40,  -0.27)   Error: 2.64
Last SG, Last State: ( -0.60,  -2.40), (  1.40,  -0.29)  SG Improvement:0.03368 

episode:00100, mean:5.85, std:0.44, median:5.87, success:0.00
Log radii:  [-1.3862944   1.3862944  -1.3862944   1.3862944   1.3862944  -0.94209844]
Adjusted log radii:  [1.10370564 2.37629437 3.10370564 2.87629437 1.37629437 2.04790163]
Goal, Curr: (-1.11,  1.01), (  1.40,   0.72)   Error: 2.53
Last SG, Last State: ( -0.60,  -1.42), (  1.40,   0.65)  SG Improvement:-0.00393 

Goal, Curr: (-0.78,  1.20), (  1.40,   0.36)   Error: 2.34
Last SG, Last State: ( -0.60,  -1.80), (  1.40,   0.28)  SG Improvement:-0.00497 

Goal, Curr: (-1.05,  0.84), (  1.40,   0.74)   Error: 2.45
Last SG, Last State: ( -0.60,  -1.40), (  1.40,   0.67)  SG Improvement:-0.00494 

Goal, Curr: (-0.97,  1.14), (  1.40,   0.41)   Error: 2.48
Last SG, Last State: ( -0.60,  -1.75), (  1.40,   0.33)  SG Improvement:-0.00463 

Goal, Curr: (-1.03,  0.96), (  1.40,   0.38)   Error: 2.49
Last SG, Last State: ( -0.60,  -1.78), (  1.40,   0.30)  SG Improvement:-0.00484 

Goal, Curr: (-1.19,  0.95), (  1.40,   0.06)   Error: 2.73
Last SG, Last State: ( -0.60,  -2.13), (  1.40,  -0.03)  SG Improvement:-0.00481 

Goal, Curr: (-0.93,  1.24), (  1.40,   0.46)   Error: 2.46
Last SG, Last State: ( -0.60,  -1.70), (  1.40,   0.38)  SG Improvement:-0.00445 

Goal, Curr: (-1.05,  0.94), (  1.40,   0.48)   Error: 2.49
Last SG, Last State: ( -0.60,  -1.68), (  1.40,   0.40)  SG Improvement:-0.00443 

Goal, Curr: (-0.99,  1.11), (  1.40,   0.54)   Error: 2.46
Last SG, Last State: ( -0.60,  -1.60), (  1.40,   0.48)  SG Improvement:-0.00442 

Goal, Curr: (-1.04,  1.11), (  1.40,   0.51)   Error: 2.51
Last SG, Last State: ( -0.60,  -1.64), (  1.40,   0.43)  SG Improvement:-0.00443 

Goal, Curr: (-1.22,  1.19), (  1.40,   0.33)   Error: 2.76
Last SG, Last State: ( -0.60,  -1.84), (  1.40,   0.25)  SG Improvement:-0.00513 

Goal, Curr: (-1.23,  0.90), (  1.40,   0.25)   Error: 2.71
Last SG, Last State: ( -0.60,  -1.93), (  1.40,   0.16)  SG Improvement:-0.00513 

Goal, Curr: (-1.06,  1.08), (  1.40,   0.32)   Error: 2.57
Last SG, Last State: ( -0.60,  -1.85), (  1.40,   0.24)  SG Improvement:-0.00513 

Goal, Curr: (-0.92,  0.99), (  1.40,   0.41)   Error: 2.39
Last SG, Last State: ( -0.60,  -1.75), (  1.40,   0.33)  SG Improvement:-0.00461 

Goal, Curr: (-1.05,  0.78), (  1.40,   0.46)   Error: 2.47
Last SG, Last State: ( -0.60,  -1.70), (  1.40,   0.38)  SG Improvement:-0.00443 

Goal, Curr: (-1.08,  1.06), (  1.40,   0.38)   Error: 2.57
Last SG, Last State: ( -0.60,  -1.78), (  1.40,   0.30)  SG Improvement:-0.00481 

Goal, Curr: (-0.77,  0.87), (  1.40,   0.30)   Error: 2.25
Last SG, Last State: ( -0.60,  -1.87), (  1.40,   0.22)  SG Improvement:-0.00516 

Goal, Curr: (-0.88,  0.93), (  1.40,   0.38)   Error: 2.34
Last SG, Last State: ( -0.60,  -1.78), (  1.40,   0.30)  SG Improvement:-0.00480 

Goal, Curr: (-0.88,  1.13), (  1.40,   0.25)   Error: 2.44
Last SG, Last State: ( -0.60,  -1.92), (  1.40,   0.17)  SG Improvement:-0.00512 

Goal, Curr: (-1.07,  1.01), (  1.40,   0.48)   Error: 2.52
Last SG, Last State: ( -0.60,  -1.68), (  1.40,   0.40)  SG Improvement:-0.00443 

Goal, Curr: (-0.78,  0.92), (  1.40,   0.21)   Error: 2.30
Last SG, Last State: ( -0.60,  -1.97), (  1.40,   0.12)  SG Improvement:-0.00512 

Goal, Curr: (-1.08,  1.01), (  1.40,   0.26)   Error: 2.59
Last SG, Last State: ( -0.60,  -1.91), (  1.40,   0.18)  SG Improvement:-0.00516 

Goal, Curr: (-1.12,  0.82), (  1.40,   0.47)   Error: 2.54
Last SG, Last State: ( -0.60,  -1.68), (  1.40,   0.40)  SG Improvement:-0.00443 

Goal, Curr: (-1.17,  1.03), (  1.40,   0.37)   Error: 2.65
Last SG, Last State: ( -0.60,  -1.79), (  1.40,   0.29)  SG Improvement:-0.00491 

Goal, Curr: (-1.15,  0.77), (  1.40,   0.20)   Error: 2.61
Last SG, Last State: ( -0.60,  -1.97), (  1.40,   0.12)  SG Improvement:-0.00512 

Goal, Curr: (-1.23,  0.85), (  1.40,   0.68)   Error: 2.63
Last SG, Last State: ( -0.60,  -1.54), (  1.40,   0.57)  SG Improvement:-0.00655 

Goal, Curr: (-0.89,  1.24), (  1.40,   0.34)   Error: 2.46
Last SG, Last State: ( -0.60,  -1.83), (  1.40,   0.25)  SG Improvement:-0.00512 

Goal, Curr: (-0.89,  1.22), (  1.40,   0.31)   Error: 2.46
Last SG, Last State: ( -0.60,  -1.86), (  1.40,   0.23)  SG Improvement:-0.00511 

Goal, Curr: (-1.23,  1.18), (  1.40,   0.49)   Error: 2.71
Last SG, Last State: ( -0.60,  -1.66), (  1.40,   0.42)  SG Improvement:-0.00442 

Goal, Curr: (-1.18,  0.79), (  1.40,   0.60)   Error: 2.58
