Using device: cpu
gc-4.0-12-1
Last SG, Last State: (  3.27,  -2.00), (  1.34,   0.02)  SG Improvement:0.01321 

Goal, Curr: (-0.93,  1.04), (  1.32,   0.12)   Error: 2.44
Last SG, Last State: (  3.35,  -1.84), (  1.34,   0.14)  SG Improvement:-0.03165 

Goal, Curr: (-1.23,  1.13), (  1.40,  -0.04)   Error: 2.88
Last SG, Last State: (  3.40,  -2.03), (  1.40,  -0.09)  SG Improvement:-0.00371 

Goal, Curr: (-0.98,  1.04), (  1.40,   0.44)   Error: 2.45
Last SG, Last State: (  3.40,  -1.62), (  1.40,   0.37)  SG Improvement:-0.00802 

Goal, Curr: (-1.22,  0.92), (  1.40,   0.23)   Error: 2.71
Last SG, Last State: (  3.40,  -1.89), (  1.40,   0.14)  SG Improvement:-0.03548 

Goal, Curr: (-1.08,  1.03), (  1.40,   0.56)   Error: 2.52
Last SG, Last State: (  3.40,  -1.55), (  1.40,   0.49)  SG Improvement:-0.00680 

Goal, Curr: (-1.01,  0.78), (  1.39,   0.16)   Error: 2.48
Last SG, Last State: (  3.29,  -1.92), (  1.35,   0.09)  SG Improvement:0.00576 

Goal, Curr: (-1.13,  1.15), (  1.09,   0.37)   Error: 2.35
Last SG, Last State: (  3.37,  -1.42), (  1.26,   0.49)  SG Improvement:0.12418 

Goal, Curr: (-1.16,  1.12), (  1.30,  -0.13)   Error: 2.76
Last SG, Last State: (  3.14,  -2.19), (  1.22,  -0.22)  SG Improvement:0.10640 

Goal, Curr: (-0.86,  0.83), (  1.34,   0.07)   Error: 2.33
Last SG, Last State: (  3.23,  -1.94), (  1.28,   0.01)  SG Improvement:0.12289 

Goal, Curr: (-1.25,  0.76), (  1.40,   0.40)   Error: 2.67
Last SG, Last State: (  3.40,  -1.76), (  1.40,   0.29)  SG Improvement:-0.03119 

Goal, Curr: (-0.81,  1.24), (  1.11,  -0.22)   Error: 2.41
Last SG, Last State: (  2.93,  -2.19), (  1.03,  -0.30)  SG Improvement:0.32949 

Goal, Curr: (-1.19,  1.05), (  1.40,   0.18)   Error: 2.73
Last SG, Last State: (  3.40,  -1.83), (  1.40,   0.12)  SG Improvement:-0.01469 

Goal, Curr: (-0.94,  0.93), (  0.23,  -0.78)   Error: 2.07
Last SG, Last State: (  1.84,  -2.87), (  0.03,  -0.83)  SG Improvement:0.15352 

episode:00100, mean:6.38, std:0.63, median:6.47, success:0.00
Goal, Curr: (-1.24,  1.19), ( -0.59,  -0.60)   Error: 1.91
Last SG, Last State: (  1.37,  -2.60), ( -0.61,  -0.60)  SG Improvement:0.00947 

Goal, Curr: (-1.15,  0.90), (  1.40,   0.57)   Error: 2.57
Last SG, Last State: (  3.40,  -1.79), (  1.40,   0.39)  SG Improvement:-0.00523 

Goal, Curr: (-1.07,  1.22), ( -0.66,  -0.60)   Error: 1.86
Last SG, Last State: (  1.31,  -2.60), ( -0.68,  -0.60)  SG Improvement:0.00774 

Goal, Curr: (-0.94,  0.89), ( -0.49,  -0.60)   Error: 1.56
Last SG, Last State: (  1.47,  -2.60), ( -0.51,  -0.60)  SG Improvement:-0.00184 

Goal, Curr: (-1.02,  0.80), (  1.40,   0.62)   Error: 2.42
Last SG, Last State: (  3.40,  -1.73), (  1.40,   0.45)  SG Improvement:-0.00466 

Goal, Curr: (-1.25,  0.90), (  1.40,   0.55)   Error: 2.67
Last SG, Last State: (  3.40,  -1.79), (  1.40,   0.39)  SG Improvement:-0.00704 

Goal, Curr: (-0.94,  0.82), (  1.40,   1.04)   Error: 2.35
Last SG, Last State: (  3.40,  -1.31), (  1.40,   0.87)  SG Improvement:-0.00070 

Goal, Curr: (-1.06,  0.86), (  1.40,   0.05)   Error: 2.59
Last SG, Last State: (  3.40,  -2.29), (  1.40,  -0.12)  SG Improvement:-0.01315 

Goal, Curr: (-1.04,  0.92), (  1.40,   0.57)   Error: 2.46
Last SG, Last State: (  3.40,  -1.78), (  1.40,   0.40)  SG Improvement:-0.00673 

Goal, Curr: (-0.76,  1.12), ( -0.74,  -0.60)   Error: 1.73
Last SG, Last State: (  1.23,  -2.60), ( -0.75,  -0.60)  SG Improvement:0.00774 

Goal, Curr: (-1.13,  0.75), (  1.40,   0.83)   Error: 2.53
Last SG, Last State: (  3.40,  -1.52), (  1.40,   0.66)  SG Improvement:-0.00564 

Goal, Curr: (-0.86,  1.15), ( -0.79,  -0.60)   Error: 1.76
Last SG, Last State: (  1.18,  -2.60), ( -0.81,  -0.60)  SG Improvement:0.00734 

Goal, Curr: (-0.80,  0.80), (  1.40,   0.90)   Error: 2.20
Last SG, Last State: (  3.40,  -1.44), (  1.40,   0.73)  SG Improvement:-0.07118 

Goal, Curr: (-0.98,  1.12), ( -0.70,  -0.60)   Error: 1.74
Last SG, Last State: (  1.26,  -2.60), ( -0.72,  -0.60)  SG Improvement:0.00951 

Goal, Curr: (-0.87,  1.18), (  1.40,   0.22)   Error: 2.46
Last SG, Last State: (  3.40,  -2.12), (  1.40,   0.05)  SG Improvement:-0.01307 

Goal, Curr: (-0.98,  0.76), (  1.40,   0.65)   Error: 2.38
Last SG, Last State: (  3.40,  -1.65), (  1.41,   0.53)  SG Improvement:-0.66789 

Goal, Curr: (-0.86,  0.78), (  1.40,   0.85)   Error: 2.26
Last SG, Last State: (  3.40,  -1.49), (  1.40,   0.68)  SG Improvement:-0.00591 

Goal, Curr: (-0.79,  1.21), ( -0.92,  -0.60)   Error: 1.82
Last SG, Last State: (  1.06,  -2.60), ( -0.93,  -0.60)  SG Improvement:0.00738 

Goal, Curr: (-0.90,  0.80), (  1.40,   0.81)   Error: 2.29
Last SG, Last State: (  3.40,  -1.53), (  1.40,   0.64)  SG Improvement:-0.00521 

Goal, Curr: (-0.83,  1.11), ( -0.61,  -0.60)   Error: 1.73
Last SG, Last State: (  1.35,  -2.60), ( -0.63,  -0.60)  SG Improvement:0.00733 

Goal, Curr: (-0.76,  1.05), ( -0.64,  -0.60)   Error: 1.66
Last SG, Last State: (  1.33,  -2.60), ( -0.65,  -0.60)  SG Improvement:0.00765 

Goal, Curr: (-1.13,  0.91), (  1.40,   1.16)   Error: 2.54
Last SG, Last State: (  3.40,  -1.17), (  1.40,   1.00)  SG Improvement:-0.00514 

Goal, Curr: (-0.91,  1.04), (  1.40,   0.98)   Error: 2.31
Last SG, Last State: (  3.40,  -1.37), (  1.40,   0.80)  SG Improvement:-0.00863 

Goal, Curr: (-1.06,  0.83), (  1.40,   0.51)   Error: 2.48
Last SG, Last State: (  3.40,  -1.85), (  1.40,   0.33)  SG Improvement:-0.00596 

Goal, Curr: (-1.23,  0.98), (  1.40,  -0.21)   Error: 2.89
Last SG, Last State: (  3.40,  -2.52), (  1.40,  -0.38)  SG Improvement:0.02945 

Goal, Curr: (-0.96,  0.92), (  1.40,   0.58)   Error: 2.38
Last SG, Last State: (  3.40,  -1.75), (  1.40,   0.42)  SG Improvement:-0.00568 

Goal, Curr: (-1.20,  0.93), (  1.40,   0.88)   Error: 2.60
Last SG, Last State: (  3.40,  -1.46), (  1.40,   0.71)  SG Improvement:0.00504 

Goal, Curr: (-1.18,  1.20), ( -0.76,  -0.60)   Error: 1.85
Last SG, Last State: (  1.21,  -2.60), ( -0.78,  -0.60)  SG Improvement:0.00838 

Goal, Curr: (-0.79,  1.23), ( -0.72,  -0.60)   Error: 1.83
Last SG, Last State: (  1.26,  -2.60), ( -0.73,  -0.60)  SG Improvement:0.00724 

Goal, Curr: (-0.99,  0.81), (  1.40,   0.45)   Error: 2.42
Last SG, Last State: (  3.40,  -1.90), (  1.40,   0.27)  SG Improvement:-0.00893 

Goal, Curr: (-1.18,  0.95), ( -0.49,  -0.60)   Error: 1.69
Last SG, Last State: (  1.46,  -2.60), ( -0.51,  -0.60)  SG Improvement:0.01302 

Goal, Curr: (-0.94,  0.80), (  1.40,   1.06)   Error: 2.35
Last SG, Last State: (  3.40,  -1.29), (  1.40,   0.89)  SG Improvement:-0.00053 

Goal, Curr: (-0.89,  0.81), (  1.40,   0.81)   Error: 2.29
Last SG, Last State: (  3.40,  -1.51), (  1.40,   0.63)  SG Improvement:0.00019 

Goal, Curr: (-0.82,  0.86), ( -0.41,  -0.60)   Error: 1.52
Last SG, Last State: (  1.54,  -2.60), ( -0.44,  -0.60)  SG Improvement:0.03110 

Goal, Curr: (-0.83,  1.05), (  1.40,   0.62)   Error: 2.27
Last SG, Last State: (  3.40,  -1.70), (  1.40,   0.47)  SG Improvement:-0.00417 

Goal, Curr: (-1.14,  0.90), (  1.40,   0.60)   Error: 2.56
Last SG, Last State: (  3.40,  -1.72), (  1.40,   0.46)  SG Improvement:-0.00868 

Goal, Curr: (-1.03,  0.82), (  1.40,   0.87)   Error: 2.43
Last SG, Last State: (  3.40,  -1.47), (  1.40,   0.69)  SG Improvement:-0.12614 

Goal, Curr: (-1.13,  0.96), (  1.40,   1.12)   Error: 2.53
