Using device: cpu
no-correct-per-ridiculously-slow-low-learner
Initializing with critic LR:  0.0005  actor LR:  1e-06
Initializing with critic LR:  1e-07  actor LR:  5e-08
Last SG, Last State: ( -1.36,  -1.40), ( -1.40,  -1.37)  SG Improvement:-0.00506 

Goal, Curr: (-0.95,  1.06), ( -1.40,  -0.65)   Error: 1.77
Last SG, Last State: ( -1.36,  -0.73), ( -1.40,  -0.66)  SG Improvement:-0.00516 

Goal, Curr: (-0.94,  1.25), ( -1.40,  -1.10)   Error: 2.40
Last SG, Last State: ( -1.36,  -1.10), ( -1.40,  -1.06)  SG Improvement:-0.00102 

Goal, Curr: (-1.01,  1.15), ( -1.40,  -1.40)   Error: 2.58
Last SG, Last State: ( -1.36,  -1.48), ( -1.40,  -1.40)  SG Improvement:0.00095 

Goal, Curr: (-0.81,  0.76), ( -1.40,  -1.09)   Error: 1.94
Last SG, Last State: ( -1.37,  -1.08), ( -1.40,  -1.05)  SG Improvement:-0.00170 

Goal, Curr: (-0.98,  0.84), ( -1.40,  -1.40)   Error: 2.28
Last SG, Last State: ( -1.36,  -1.47), ( -1.40,  -1.40)  SG Improvement:0.00092 

Goal, Curr: (-1.25,  1.01), ( -1.40,  -0.82)   Error: 1.84
Last SG, Last State: ( -1.36,  -0.86), ( -1.40,  -0.80)  SG Improvement:-0.00096 

Goal, Curr: (-0.88,  1.24), ( -1.40,  -1.40)   Error: 2.69
Last SG, Last State: ( -1.36,  -1.48), ( -1.40,  -1.40)  SG Improvement:0.00100 

Goal, Curr: (-1.17,  0.91), ( -1.40,  -1.25)   Error: 2.17
Last SG, Last State: ( -1.36,  -1.24), ( -1.40,  -1.21)  SG Improvement:-0.00255 

Goal, Curr: (-0.95,  1.07), ( -1.40,  -1.36)   Error: 2.48
Last SG, Last State: ( -1.36,  -1.34), ( -1.40,  -1.31)  SG Improvement:-0.00445 

Goal, Curr: (-1.23,  1.08), ( -1.40,  -1.08)   Error: 2.17
Last SG, Last State: ( -1.36,  -1.08), ( -1.40,  -1.04)  SG Improvement:-0.00036 

Goal, Curr: (-1.08,  1.07), ( -1.40,  -1.40)   Error: 2.48
Last SG, Last State: ( -1.36,  -1.48), ( -1.40,  -1.40)  SG Improvement:0.00105 

Goal, Curr: (-1.06,  0.91), ( -1.40,  -0.90)   Error: 1.85
Last SG, Last State: ( -1.36,  -0.93), ( -1.40,  -0.88)  SG Improvement:-0.00096 

Goal, Curr: (-0.83,  1.12), ( -1.40,  -0.60)   Error: 1.82
Last SG, Last State: ( -1.36,  -0.67), ( -1.40,  -0.60)  SG Improvement:-0.06169 

Goal, Curr: (-0.83,  1.01), ( -1.40,  -0.81)   Error: 1.90
Last SG, Last State: ( -1.36,  -0.84), ( -1.40,  -0.79)  SG Improvement:-0.00133 

Goal, Curr: (-1.25,  0.77), ( -1.40,  -1.40)   Error: 2.18
Last SG, Last State: ( -1.36,  -1.39), ( -1.40,  -1.37)  SG Improvement:-0.00528 

Goal, Curr: (-0.89,  1.16), ( -1.40,  -1.40)   Error: 2.61
Last SG, Last State: ( -1.36,  -1.44), ( -1.40,  -1.40)  SG Improvement:-0.00528 

episode:00100, mean:5.96, std:0.72, median:5.94, success:0.00
Goal, Curr: (-0.82,  0.93), ( -0.21,  -1.40)   Error: 2.41
Last SG, Last State: ( -0.59,  -1.46), ( -0.40,  -1.40)  SG Improvement:-0.18726 

Goal, Curr: (-0.84,  0.80), ( -0.72,  -1.40)   Error: 2.21
Last SG, Last State: ( -1.03,  -1.47), ( -0.88,  -1.40)  SG Improvement:-0.23312 

Goal, Curr: (-1.09,  1.03), ( -1.05,  -1.40)   Error: 2.42
Last SG, Last State: ( -1.25,  -1.49), ( -1.17,  -1.40)  SG Improvement:-0.24338 

Goal, Curr: (-1.12,  1.20), ( -0.48,  -1.40)   Error: 2.67
Last SG, Last State: ( -0.83,  -1.48), ( -0.66,  -1.40)  SG Improvement:-0.20119 

Goal, Curr: (-0.78,  1.03), ( -0.18,  -1.40)   Error: 2.50
Last SG, Last State: ( -0.57,  -1.46), ( -0.38,  -1.40)  SG Improvement:-0.18274 

Goal, Curr: (-1.22,  0.84), ( -0.65,  -1.40)   Error: 2.31
Last SG, Last State: ( -0.97,  -1.47), ( -0.82,  -1.40)  SG Improvement:-0.22113 

