Using device: cpu
no-correct-less-crazy-per-2
Initializing with critic LR:  0.05  actor LR:  1e-05
Initializing with critic LR:  0.001  actor LR:  0.0005
Goal, Curr: (-1.17,  0.84), (  0.03,  -0.60)   Error: 1.88
Last SG, Last State: (  0.33,  -0.40), (  0.03,  -0.60)  SG Improvement:0.00449 

Goal, Curr: (-0.81,  1.15), (  0.04,  -0.60)   Error: 1.94
Last SG, Last State: (  0.34,  -0.41), (  0.04,  -0.60)  SG Improvement:0.00390 

Goal, Curr: (-0.99,  1.04), (  0.02,  -0.60)   Error: 1.93
Last SG, Last State: (  0.32,  -0.40), (  0.02,  -0.60)  SG Improvement:0.00611 

Goal, Curr: (-1.07,  1.06), (  0.01,  -0.60)   Error: 1.98
Last SG, Last State: (  0.32,  -0.40), (  0.01,  -0.60)  SG Improvement:0.00625 

Goal, Curr: (-1.01,  1.05), (  0.02,  -0.60)   Error: 1.95
Last SG, Last State: (  0.33,  -0.40), (  0.02,  -0.60)  SG Improvement:0.00503 

Goal, Curr: (-1.01,  0.91), (  0.04,  -0.60)   Error: 1.84
Last SG, Last State: (  0.34,  -0.41), (  0.04,  -0.60)  SG Improvement:0.00410 

Goal, Curr: (-1.00,  1.16), (  0.00,  -0.60)   Error: 2.02
Last SG, Last State: (  0.31,  -0.40), ( -0.00,  -0.60)  SG Improvement:0.00681 

Goal, Curr: (-0.86,  0.93), (  0.04,  -0.60)   Error: 1.77
Last SG, Last State: (  0.32,  -0.41), (  0.03,  -0.60)  SG Improvement:0.00816 

Goal, Curr: (-1.13,  1.01), (  0.01,  -0.60)   Error: 1.98
Last SG, Last State: (  0.32,  -0.40), (  0.01,  -0.60)  SG Improvement:0.00533 

Goal, Curr: (-0.83,  1.21), (  0.02,  -0.60)   Error: 2.01
Last SG, Last State: (  0.33,  -0.40), (  0.02,  -0.60)  SG Improvement:0.00504 

Goal, Curr: (-1.13,  0.82), (  0.02,  -0.60)   Error: 1.83
Last SG, Last State: (  0.31,  -0.41), (  0.01,  -0.60)  SG Improvement:0.00871 

Goal, Curr: (-0.75,  0.84), (  0.07,  -0.60)   Error: 1.66
Last SG, Last State: (  0.34,  -0.41), (  0.06,  -0.60)  SG Improvement:0.00562 

Goal, Curr: (-0.92,  1.09), (  0.01,  -0.60)   Error: 1.93
Last SG, Last State: (  0.31,  -0.41), (  0.00,  -0.60)  SG Improvement:0.00877 

Goal, Curr: (-0.88,  1.16), (  0.01,  -0.60)   Error: 1.98
Last SG, Last State: (  0.31,  -0.41), (  0.00,  -0.60)  SG Improvement:0.00860 

Goal, Curr: (-1.20,  0.86), (  0.02,  -0.60)   Error: 1.91
Last SG, Last State: (  0.33,  -0.40), (  0.02,  -0.60)  SG Improvement:0.00502 

episode:00100, mean:5.46, std:0.39, median:5.46, success:0.00
Goal, Curr: (-0.77,  0.89), (  0.60,  -0.34)   Error: 1.84
Last SG, Last State: (  1.10,  -0.26), (  0.61,  -0.43)  SG Improvement:-0.00340 

Goal, Curr: (-0.77,  0.90), (  0.75,   1.11)   Error: 1.53
Last SG, Last State: (  1.23,   0.97), (  0.73,   0.92)  SG Improvement:0.04609 

Goal, Curr: (-0.93,  0.95), (  1.02,   1.40)   Error: 2.00
Last SG, Last State: (  1.20,   1.26), (  0.99,   1.40)  SG Improvement:0.07357 

Goal, Curr: (-0.91,  1.21), (  0.55,   0.64)   Error: 1.57
Last SG, Last State: (  0.86,   0.46), (  0.60,   0.52)  SG Improvement:-0.01274 

Goal, Curr: (-0.89,  1.16), (  0.80,   1.34)   Error: 1.71
Last SG, Last State: (  1.26,   1.51), (  0.82,   1.40)  SG Improvement:-2.05366 

Goal, Curr: (-1.11,  1.08), (  0.53,   0.89)   Error: 1.65
Last SG, Last State: (  0.73,   0.72), (  0.54,   0.80)  SG Improvement:-0.00086 

Goal, Curr: (-0.97,  0.83), (  0.60,   0.01)   Error: 1.77
Last SG, Last State: (  0.88,  -0.08), (  0.60,  -0.12)  SG Improvement:-0.15971 

Goal, Curr: (-0.85,  1.17), (  0.69,  -0.39)   Error: 2.19
Last SG, Last State: (  1.20,  -0.20), (  0.69,  -0.39)  SG Improvement:0.10705 

Goal, Curr: (-0.84,  0.98), (  0.58,   0.61)   Error: 1.46
Last SG, Last State: (  0.83,   0.43), (  0.60,   0.49)  SG Improvement:-0.12826 

Goal, Curr: (-1.07,  0.98), (  0.61,   0.77)   Error: 1.70
Last SG, Last State: (  0.89,   0.71), (  0.60,   0.65)  SG Improvement:-0.55494 

Goal, Curr: (-0.79,  0.80), (  0.60,   0.43)   Error: 1.44
Last SG, Last State: (  0.82,   0.24), (  0.60,   0.29)  SG Improvement:-0.08733 

Goal, Curr: (-0.95,  1.03), (  0.70,  -0.38)   Error: 2.17
Last SG, Last State: (  1.21,  -0.20), (  0.70,  -0.39)  SG Improvement:-0.09449 

Goal, Curr: (-0.96,  0.99), (  0.80,   1.37)   Error: 1.80
Last SG, Last State: (  1.22,   1.28), (  0.90,   1.38)  SG Improvement:0.18099 

Goal, Curr: (-1.11,  1.08), (  0.59,   0.76)   Error: 1.73
