Using device: cpu
gc-4.0-12-2
Log radii:  [ 0.9207822  1.1386936 -1.3862944  1.0425466 -1.1312947 -1.2293634]
Adjusted log radii:  [1.91078222 2.12869358 1.60370564 2.53254676 1.85870528 1.26063657]
Goal, Curr: (-1.16,  1.05), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00356 

Goal, Curr: (-1.20,  0.86), ( -1.40,  -0.60)   Error: 1.47
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.17,  0.78), ( -1.40,  -0.60)   Error: 1.40
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.19,  0.81), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.97,  1.19), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  0.81), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.24,  1.12), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  1.08), ( -1.15,  -0.93)   Error: 2.02
Last SG, Last State: ( -3.10,   1.01), ( -1.12,  -0.97)  SG Improvement:0.01394 

Goal, Curr: (-1.07,  0.82), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.18,  1.15), ( -1.40,  -0.60)   Error: 1.76
Last SG, Last State: ( -3.39,   1.18), ( -1.40,  -0.67)  SG Improvement:-0.08479 

Goal, Curr: (-1.19,  0.90), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  0.80), ( -1.40,  -0.60)   Error: 1.42
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00160 

Goal, Curr: (-0.82,  1.13), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.90,  1.12), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  1.15), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.06,  0.96), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:00100, mean:5.78, std:0.65, median:5.69, success:0.00
Goal, Curr: (-1.15,  0.90), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:0.00023 

Goal, Curr: (-0.77,  0.91), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:0.00002 

Goal, Curr: (-0.80,  1.21), ( -1.40,  -0.60)   Error: 1.91
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.12,  1.22), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,   1.36), ( -1.40,  -0.60)  SG Improvement:0.00024 

Goal, Curr: (-0.75,  1.21), ( -1.40,  -1.29)   Error: 2.58
Last SG, Last State: ( -3.40,   0.64), ( -1.40,  -1.28)  SG Improvement:-0.00057 

Goal, Curr: (-1.01,  1.05), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:0.00002 

Goal, Curr: (-1.04,  1.24), ( -1.40,  -1.07)   Error: 2.34
Last SG, Last State: ( -3.40,   0.86), ( -1.40,  -1.07)  SG Improvement:0.00009 

